grn_id,po_id,line_item_id,vendor_id,project_id,material_id,receipt_date,qty_delivered,qty_accepted,qty_rejected,grn_status,inspection_result,inspection_certificate,delivery_note_ref,storage_location,received_by,remarks,damage_flag,temperature_check,created_date
GRN-2023-0000011,PO-2019-0000439,PO-2019-0000439-L005,VND-000711,PRJ-2023-00346,MAT-00000563,2023-11-24,153,0,153,REJECTED,FAILED,,DN-696XOI,SITE-E-WAREHOUSE-SEC-05,Ann Williams,,False,False,2023-11-24
GRN-2023-0000012,PO-2024-0000977,PO-2024-0000977-L013,VND-000691,PRJ-2019-00844,MAT-00000142,2023-07-05,476,476,0,RECEIVED,PASSED,CERT-86149359,DN-122YRB,SITE-C-WAREHOUSE-SEC-02,Janice Carlson,,False,False,2023-07-05
GRN-2019-0000013,PO-2019-0000439,PO-2019-0000439-L003,VND-000711,PRJ-2023-00346,MAT-00000868,2019-10-09,485,485,0,ACCEPTED,PASSED,CERT-91415657,DN-784JAR,SITE-B-WAREHOUSE-SEC-03,Melanie Herrera,,False,False,2019-10-09
GRN-2024-0000014,PO-2024-0000128,PO-2024-0000128-L015,VND-000228,PRJ-2024-00321,MAT-00000102,2024-07-10,333,0,333,RETURNED,PASSED,CERT-43273328,DN-451SBK,SITE-D-WAREHOUSE-SEC-05,Troy Liu,,False,False,2024-07-10
GRN-2020-0000015,PO-2019-0000889,PO-2019-0000889-L012,VND-000735,PRJ-2023-00248,MAT-00000436,2020-02-04,118,118,0,ACCEPTED,PASSED,CERT-41944441,DN-482GGO,SITE-A-WAREHOUSE-SEC-03,Mark Lynch,,False,False,2020-02-04
GRN-2024-0000016,PO-2024-0000158,PO-2024-0000158-L014,VND-000621,PRJ-2023-00805,MAT-00000713,2024-07-27,243,243,0,INSPECTED,PASSED,CERT-67854710,DN-252IXH,SITE-B-WAREHOUSE-SEC-01,Linda Burns,,False,False,2024-07-27
GRN-2019-0000017,PO-2024-0000945,PO-2024-0000945-L003,VND-000459,PRJ-2022-00863,MAT-00000203,2019-02-25,174,174,0,ACCEPTED,PASSED,CERT-70211891,DN-154PDP,SITE-B-WAREHOUSE-SEC-02,Theresa Miller,Staff within mouth call process water.,False,False,2019-02-25
GRN-2025-0000018,PO-2024-0000158,PO-2024-0000158-L002,VND-000621,PRJ-2023-00805,MAT-00000434,2025-01-26,51,0,51,REJECTED,FAILED,,DN-248MBN,SITE-E-WAREHOUSE-SEC-01,Nicole Vaughn,,False,False,2025-01-26
GRN-2022-0000019,PO-2019-0000390,PO-2019-0000390-L009,VND-000999,PRJ-2023-00587,MAT-00000488,2022-01-02,195,195,0,RECEIVED,FAILED,,DN-465CHC,SITE-D-WAREHOUSE-SEC-03,Danny Morgan,,False,False,2022-01-02
GRN-2024-0000020,PO-2021-0000455,PO-2021-0000455-L003,VND-000323,PRJ-2020-00142,MAT-00000494,2024-04-21,152,152,0,INSPECTED,PASSED,CERT-18181586,DN-983LOA,SITE-A-WAREHOUSE-SEC-05,Mark Perez,,False,False,2024-04-21
GRN-2023-0000021,PO-2024-0000977,PO-2024-0000977-L014,VND-000691,PRJ-2019-00844,MAT-00000592,2023-04-06,42,0,42,RETURNED,PASSED,CERT-41568532,DN-051GPR,SITE-A-WAREHOUSE-SEC-05,Cindy Anderson,,False,False,2023-04-06
GRN-2023-0000022,PO-2021-0000140,PO-2021-0000140-L001,VND-000799,PRJ-2023-00220,MAT-00000781,2023-09-25,290,290,0,ACCEPTED,PASSED,CERT-52169044,DN-997PYE,SITE-C-WAREHOUSE-SEC-03,Cheryl Davis,,False,False,2023-09-25
GRN-2021-0000023,PO-2020-0000488,PO-2020-0000488-L004,VND-000150,PRJ-2024-00779,MAT-00000046,2021-11-15,235,235,0,RECEIVED,PASSED,CERT-38609087,DN-656ADU,SITE-E-WAREHOUSE-SEC-01,Matthew Lucas,,False,False,2021-11-15
GRN-2019-0000024,PO-2019-0000303,PO-2019-0000303-L012,VND-000991,PRJ-2024-00218,MAT-00000686,2019-12-27,279,279,0,ACCEPTED,PASSED,CERT-97775215,DN-065ZGP,SITE-C-WAREHOUSE-SEC-05,Joshua Taylor,,False,False,2019-12-27
GRN-2024-0000025,PO-2019-0000424,PO-2019-0000424-L002,VND-000896,PRJ-2023-00240,MAT-00000088,2024-10-10,55,55,0,RECEIVED,PASSED,CERT-38270233,DN-247PEC,SITE-B-WAREHOUSE-SEC-03,Savannah Garcia,,False,False,2024-10-10
GRN-2021-0000026,PO-2020-0000751,PO-2020-0000751-L011,VND-000345,PRJ-2023-00480,MAT-00000605,2021-08-05,48,41,7,PARTIALLY_ACCEPTED,PASSED,CERT-27558317,DN-801WPK,SITE-C-WAREHOUSE-SEC-01,John Hancock,,False,False,2021-08-05
GRN-2023-0000027,PO-2020-0000721,PO-2020-0000721-L011,VND-000256,PRJ-2020-00989,MAT-00000465,2023-12-20,453,453,0,RECEIVED,PASSED,CERT-59555330,DN-026AYQ,SITE-B-WAREHOUSE-SEC-05,Rachel Mitchell,,False,False,2023-12-20
GRN-2021-0000028,PO-2019-0000457,PO-2019-0000457-L002,VND-000750,PRJ-2021-00636,MAT-00000290,2021-07-03,461,0,461,REJECTED,FAILED,,DN-872MSN,SITE-B-WAREHOUSE-SEC-06,Lauren Daniels,Arm once me system church.,False,False,2021-07-03
GRN-2022-0000029,PO-2022-0000965,PO-2022-0000965-L001,VND-000750,PRJ-2024-00770,MAT-00000799,2022-03-25,443,0,443,REJECTED,FAILED,,DN-812EME,SITE-B-WAREHOUSE-SEC-04,Cynthia Wilson,,False,False,2022-03-25
GRN-2025-0000030,PO-2020-0000751,PO-2020-0000751-L020,VND-000345,PRJ-2023-00480,MAT-00000424,2025-12-26,404,404,0,INSPECTED,FAILED,,DN-939MCN,SITE-A-WAREHOUSE-SEC-04,Matthew Cunningham,,False,False,2025-12-26
GRN-2022-0000031,PO-2022-0000974,PO-2022-0000974-L005,VND-000606,PRJ-2019-00698,MAT-00000517,2022-12-04,13,13,0,INSPECTED,PASSED,CERT-19317495,DN-543QTU,SITE-B-WAREHOUSE-SEC-04,James Powers,,False,False,2022-12-04
GRN-2022-0000032,PO-2024-0000128,PO-2024-0000128-L004,VND-000228,PRJ-2024-00321,MAT-00000539,2022-05-14,450,450,0,RECEIVED,CONDITIONAL,CERT-45630292,DN-475WEA,SITE-B-WAREHOUSE-SEC-05,Zachary Ferrell,Mrs media car.,False,False,2022-05-14
GRN-2025-0000033,PO-2020-0000519,PO-2020-0000519-L003,VND-000730,PRJ-2023-00055,MAT-00000457,2025-04-08,296,296,0,ACCEPTED,PASSED,CERT-10226999,DN-513XSK,SITE-C-WAREHOUSE-SEC-01,Joshua Turner,,False,False,2025-04-08
GRN-2024-0000034,PO-2020-0000142,PO-2020-0000142-L006,VND-000315,PRJ-2023-00775,MAT-00000819,2024-06-18,341,341,0,RECEIVED,PASSED,CERT-26726926,DN-808TQG,SITE-E-WAREHOUSE-SEC-03,Brandy Wilson,,False,False,2024-06-18
GRN-2022-0000035,PO-2024-0000915,PO-2024-0000915-L003,VND-000220,PRJ-2022-00123,MAT-00000489,2022-12-07,216,216,0,RECEIVED,PASSED,CERT-33357554,DN-182RSM,SITE-D-WAREHOUSE-SEC-06,Grant Watts,,False,False,2022-12-07
GRN-2019-0000036,PO-2020-0000051,PO-2020-0000051-L006,VND-000196,PRJ-2019-00654,MAT-00000585,2019-06-14,336,336,0,ACCEPTED,PASSED,CERT-38682516,DN-487QDF,SITE-D-WAREHOUSE-SEC-04,Sandra Williams,,False,False,2019-06-14
GRN-2024-0000037,PO-2021-0000413,PO-2021-0000413-L010,VND-000938,PRJ-2019-00841,MAT-00000113,2024-06-20,318,318,0,ACCEPTED,PASSED,CERT-40150759,DN-524KVC,SITE-A-WAREHOUSE-SEC-02,Jessica Smith,,False,True,2024-06-20
GRN-2022-0000038,PO-2024-0000305,PO-2024-0000305-L021,VND-000947,PRJ-2019-00676,MAT-00000544,2022-10-22,323,323,0,ACCEPTED,PASSED,CERT-76354180,DN-128CXL,SITE-B-WAREHOUSE-SEC-06,Jessica Williams,,False,False,2022-10-22
GRN-2025-0000039,PO-2020-0000778,PO-2020-0000778-L012,VND-000881,PRJ-2022-00400,MAT-00000935,2025-12-23,91,91,0,ACCEPTED,PASSED,CERT-43446826,DN-505NRP,SITE-E-WAREHOUSE-SEC-04,Heather Castro,,False,False,2025-12-23
GRN-2022-0000040,PO-2020-0000751,PO-2020-0000751-L018,VND-000345,PRJ-2023-00480,MAT-00000158,2022-08-15,457,0,457,RETURNED,FAILED,,DN-692PKZ,SITE-E-WAREHOUSE-SEC-06,Sierra Johnson,,False,False,2022-08-15
GRN-2020-0000041,PO-2020-0000142,PO-2020-0000142-L013,VND-000315,PRJ-2023-00775,MAT-00000633,2020-05-21,431,327,104,PARTIALLY_ACCEPTED,PASSED,CERT-46855845,DN-563RKY,SITE-E-WAREHOUSE-SEC-04,Janet Williams,,False,False,2020-05-21
GRN-2021-0000042,PO-2020-0000519,PO-2020-0000519-L009,VND-000730,PRJ-2023-00055,MAT-00000027,2021-12-22,197,197,0,INSPECTED,PASSED,CERT-65682626,DN-733DWT,SITE-B-WAREHOUSE-SEC-06,Shelby Walker,,False,False,2021-12-22
GRN-2020-0000043,PO-2024-0000780,PO-2024-0000780-L005,VND-000668,PRJ-2022-00070,MAT-00000360,2020-01-11,357,357,0,ACCEPTED,PASSED,CERT-57212267,DN-365REX,SITE-E-WAREHOUSE-SEC-04,Martin Ross,,False,False,2020-01-11
GRN-2025-0000044,PO-2020-0000323,PO-2020-0000323-L013,VND-000846,PRJ-2022-00110,MAT-00000790,2025-09-07,460,113,347,PARTIALLY_ACCEPTED,PASSED,CERT-13895645,DN-850HQL,SITE-B-WAREHOUSE-SEC-03,Victoria Johnson,,False,False,2025-09-07
GRN-2024-0000045,PO-2021-0000413,PO-2021-0000413-L006,VND-000938,PRJ-2019-00841,MAT-00000849,2024-01-14,274,0,274,RETURNED,PASSED,CERT-13637575,DN-965UYU,SITE-D-WAREHOUSE-SEC-05,William Wilson,Couple and job mind southern rather.,False,False,2024-01-14
GRN-2020-0000046,PO-2021-0000399,PO-2021-0000399-L006,VND-000317,PRJ-2020-00936,MAT-00000118,2020-07-13,173,173,0,ACCEPTED,PASSED,CERT-20993268,DN-356EQV,SITE-C-WAREHOUSE-SEC-04,Mary Martinez,,False,True,2020-07-13
GRN-2021-0000047,PO-2024-0000471,PO-2024-0000471-L017,VND-000102,PRJ-2019-00614,MAT-00000434,2021-01-16,387,387,0,ACCEPTED,PASSED,CERT-93394260,DN-484QAU,SITE-B-WAREHOUSE-SEC-02,Edward Martinez,,False,False,2021-01-16
GRN-2023-0000048,PO-2020-0000205,PO-2020-0000205-L006,VND-000346,PRJ-2021-00089,MAT-00000148,2023-11-07,86,78,8,PARTIALLY_ACCEPTED,CONDITIONAL,CERT-24508768,DN-662NKT,SITE-A-WAREHOUSE-SEC-02,Roy Torres,,False,False,2023-11-07
GRN-2022-0000049,PO-2020-0000715,PO-2020-0000715-L007,VND-000130,PRJ-2020-00699,MAT-00000006,2022-11-18,426,426,0,ACCEPTED,PASSED,CERT-50477742,DN-369MPU,SITE-B-WAREHOUSE-SEC-01,Jeremy Lewis,,False,False,2022-11-18
GRN-2023-0000050,PO-2021-0000455,PO-2021-0000455-L002,VND-000323,PRJ-2020-00142,MAT-00000147,2023-09-17,36,36,0,ACCEPTED,PASSED,CERT-75793759,DN-721SGQ,SITE-C-WAREHOUSE-SEC-01,Frances Cardenas,Pull different current agency.,False,False,2023-09-17
GRN-2025-0000051,PO-2020-0000488,PO-2020-0000488-L006,VND-000150,PRJ-2024-00779,MAT-00000551,2025-05-19,495,334,161,PARTIALLY_ACCEPTED,PASSED,CERT-72394301,DN-379XED,SITE-E-WAREHOUSE-SEC-05,Mark Lee,,False,False,2025-05-19
GRN-2025-0000052,PO-2020-0000507,PO-2020-0000507-L001,VND-000415,PRJ-2020-00309,MAT-00000331,2025-08-26,125,0,125,REJECTED,FAILED,,DN-676PJP,SITE-E-WAREHOUSE-SEC-05,Stephanie Dalton,,False,False,2025-08-26
GRN-2022-0000053,PO-2024-0000471,PO-2024-0000471-L005,VND-000102,PRJ-2019-00614,MAT-00000144,2022-12-26,306,306,0,INSPECTED,PASSED,CERT-35643159,DN-163LZS,SITE-C-WAREHOUSE-SEC-05,Amber Wright,Lead soon property.,False,False,2022-12-26
GRN-2025-0000054,PO-2019-0000791,PO-2019-0000791-L015,VND-000924,PRJ-2020-00142,MAT-00000804,2025-01-09,406,406,0,ACCEPTED,PASSED,CERT-42655866,DN-895WCN,SITE-A-WAREHOUSE-SEC-03,Stephanie Simmons,,False,False,2025-01-09
GRN-2023-0000055,PO-2021-0000061,PO-2021-0000061-L006,VND-000386,PRJ-2020-00727,MAT-00000229,2023-05-19,233,233,0,ACCEPTED,PASSED,CERT-35848226,DN-872VEC,SITE-C-WAREHOUSE-SEC-03,David Walsh,,False,False,2023-05-19
GRN-2024-0000056,PO-2023-0000098,PO-2023-0000098-L004,VND-000778,PRJ-2020-00453,MAT-00000935,2024-09-25,302,302,0,INSPECTED,CONDITIONAL,CERT-36054020,DN-873RCE,SITE-E-WAREHOUSE-SEC-03,Cynthia Rogers,,False,False,2024-09-25
GRN-2024-0000057,PO-2023-0000134,PO-2023-0000134-L006,VND-000997,PRJ-2022-00345,MAT-00000156,2024-12-23,150,150,0,RECEIVED,FAILED,,DN-812JOY,SITE-B-WAREHOUSE-SEC-06,Michelle Brown,,False,False,2024-12-23
GRN-2022-0000058,PO-2019-0000390,PO-2019-0000390-L007,VND-000999,PRJ-2023-00587,MAT-00000184,2022-09-02,482,482,0,RECEIVED,PASSED,CERT-19943140,DN-658DAD,SITE-A-WAREHOUSE-SEC-01,Jason Stein,,False,False,2022-09-02
GRN-2025-0000059,PO-2021-0000594,PO-2021-0000594-L008,VND-000515,PRJ-2024-00280,MAT-00000231,2025-08-02,392,392,0,RECEIVED,PASSED,CERT-40291214,DN-909YEA,SITE-E-WAREHOUSE-SEC-05,Elizabeth Price,,False,False,2025-08-02
GRN-2021-0000060,PO-2020-0000778,PO-2020-0000778-L011,VND-000881,PRJ-2022-00400,MAT-00000062,2021-02-20,313,313,0,ACCEPTED,PASSED,CERT-98641164,DN-688ZMO,SITE-B-WAREHOUSE-SEC-06,Don Tucker MD,Right subject try wonder move.,False,False,2021-02-20
GRN-2020-0000061,PO-2024-0000655,PO-2024-0000655-L003,VND-000477,PRJ-2023-00675,MAT-00000164,2020-04-28,17,17,0,ACCEPTED,PASSED,CERT-70939053,DN-699QBF,SITE-C-WAREHOUSE-SEC-06,Brandy Murray,Employee force lawyer.,False,False,2020-04-28
GRN-2025-0000062,PO-2024-0000305,PO-2024-0000305-L036,VND-000947,PRJ-2019-00676,MAT-00000781,2025-10-06,59,59,0,INSPECTED,PASSED,CERT-45652586,DN-564WAQ,SITE-B-WAREHOUSE-SEC-06,Julie Curry,,False,False,2025-10-06
GRN-2021-0000063,PO-2021-0000140,PO-2021-0000140-L002,VND-000799,PRJ-2023-00220,MAT-00000704,2021-08-28,64,64,0,INSPECTED,PASSED,CERT-46540265,DN-053PEX,SITE-C-WAREHOUSE-SEC-06,Amanda Johnson,,False,True,2021-08-28
GRN-2019-0000064,PO-2021-0000118,PO-2021-0000118-L009,VND-000671,PRJ-2020-00373,MAT-00000017,2019-04-28,47,47,0,INSPECTED,CONDITIONAL,CERT-46173157,DN-330NJP,SITE-E-WAREHOUSE-SEC-05,Michael Elliott,,False,False,2019-04-28
GRN-2023-0000065,PO-2019-0000042,PO-2019-0000042-L006,VND-000399,PRJ-2023-00205,MAT-00000619,2023-11-22,224,0,224,RETURNED,PASSED,CERT-64807553,DN-374XXK,SITE-D-WAREHOUSE-SEC-01,Tracey Higgins,,False,False,2023-11-22
GRN-2021-0000066,PO-2020-0000323,PO-2020-0000323-L005,VND-000846,PRJ-2022-00110,MAT-00000185,2021-10-09,417,0,417,REJECTED,FAILED,,DN-241LBT,SITE-A-WAREHOUSE-SEC-04,Susan Brooks,,False,False,2021-10-09
GRN-2025-0000067,PO-2023-0000143,PO-2023-0000143-L003,VND-000278,PRJ-2024-00428,MAT-00000566,2025-01-28,212,212,0,ACCEPTED,PASSED,CERT-76906611,DN-319SOP,SITE-B-WAREHOUSE-SEC-05,Raymond Jefferson,,False,False,2025-01-28
GRN-2023-0000068,PO-2020-0000849,PO-2020-0000849-L008,VND-000308,PRJ-2022-00006,MAT-00000384,2023-01-15,63,63,0,ACCEPTED,PASSED,CERT-51708177,DN-919YCW,SITE-E-WAREHOUSE-SEC-02,Mary Jones,,False,True,2023-01-15
GRN-2025-0000069,PO-2024-0000977,PO-2024-0000977-L007,VND-000691,PRJ-2019-00844,MAT-00000506,2025-09-13,79,79,0,ACCEPTED,PASSED,CERT-65766169,DN-506FGB,SITE-C-WAREHOUSE-SEC-05,Madison Poole,,False,False,2025-09-13
GRN-2023-0000070,PO-2019-0000441,PO-2019-0000441-L005,VND-000251,PRJ-2022-00017,MAT-00000141,2023-03-11,451,451,0,ACCEPTED,PASSED,CERT-65692629,DN-262UHP,SITE-A-WAREHOUSE-SEC-03,Robert Medina,,False,False,2023-03-11
GRN-2019-0000071,PO-2024-0000646,PO-2024-0000646-L003,VND-000704,PRJ-2023-00695,MAT-00000931,2019-09-08,338,338,0,ACCEPTED,PASSED,CERT-56321751,DN-776ULR,SITE-B-WAREHOUSE-SEC-04,David Michael,,False,False,2019-09-08
GRN-2021-0000072,PO-2024-0000067,PO-2024-0000067-L002,VND-000814,PRJ-2022-00894,MAT-00000578,2021-07-30,439,439,0,ACCEPTED,PASSED,CERT-61167978,DN-473WDK,SITE-A-WAREHOUSE-SEC-03,Jamie Johnson,,False,False,2021-07-30
GRN-2020-0000073,PO-2020-0000751,PO-2020-0000751-L001,VND-000345,PRJ-2023-00480,MAT-00000318,2020-02-21,170,0,170,RETURNED,PASSED,CERT-71327848,DN-527NWZ,SITE-D-WAREHOUSE-SEC-01,Douglas Carlson,New might course drop.,False,False,2020-02-21
GRN-2020-0000074,PO-2024-0000305,PO-2024-0000305-L012,VND-000947,PRJ-2019-00676,MAT-00000935,2020-07-22,355,355,0,ACCEPTED,PASSED,CERT-81621574,DN-678WPS,SITE-A-WAREHOUSE-SEC-03,Michael West,,False,False,2020-07-22
GRN-2025-0000075,PO-2022-0000331,PO-2022-0000331-L005,VND-000696,PRJ-2024-00718,MAT-00000477,2025-12-17,324,324,0,RECEIVED,PASSED,CERT-68246664,DN-014OZS,SITE-C-WAREHOUSE-SEC-02,Matthew Wood,,False,False,2025-12-17
GRN-2019-0000076,PO-2024-0000162,PO-2024-0000162-L011,VND-000462,PRJ-2023-00390,MAT-00000222,2019-01-29,167,167,0,RECEIVED,PASSED,CERT-29538047,DN-885BVJ,SITE-C-WAREHOUSE-SEC-03,Michael Nelson,,False,False,2019-01-29
GRN-2020-0000077,PO-2021-0000413,PO-2021-0000413-L011,VND-000938,PRJ-2019-00841,MAT-00000514,2020-05-03,350,350,0,ACCEPTED,PASSED,CERT-71894493,DN-431UMU,SITE-D-WAREHOUSE-SEC-05,Joshua Gill,,False,False,2020-05-03
GRN-2025-0000078,PO-2020-0000488,PO-2020-0000488-L012,VND-000150,PRJ-2024-00779,MAT-00000748,2025-06-26,227,227,0,INSPECTED,PASSED,CERT-66949781,DN-233VER,SITE-E-WAREHOUSE-SEC-03,Vanessa Warren,,False,False,2025-06-26
GRN-2022-0000079,PO-2020-0000778,PO-2020-0000778-L004,VND-000881,PRJ-2022-00400,MAT-00000979,2022-06-01,295,295,0,ACCEPTED,PASSED,CERT-98346110,DN-413SOX,SITE-C-WAREHOUSE-SEC-01,Adrian Ferguson,,True,False,2022-06-01
GRN-2025-0000080,PO-2020-0000142,PO-2020-0000142-L014,VND-000315,PRJ-2023-00775,MAT-00000644,2025-04-28,427,147,280,PARTIALLY_ACCEPTED,PASSED,CERT-35519083,DN-400JSS,SITE-E-WAREHOUSE-SEC-03,Margaret Mullins,,False,False,2025-04-28
GRN-2024-0000081,PO-2024-0000128,PO-2024-0000128-L006,VND-000228,PRJ-2024-00321,MAT-00000765,2024-01-21,331,0,331,REJECTED,FAILED,,DN-109SEE,SITE-C-WAREHOUSE-SEC-04,Cody Williams,,False,False,2024-01-21
GRN-2021-0000082,PO-2020-0000142,PO-2020-0000142-L017,VND-000315,PRJ-2023-00775,MAT-00000335,2021-09-29,449,188,261,PARTIALLY_ACCEPTED,PASSED,CERT-44489940,DN-711ZFE,SITE-E-WAREHOUSE-SEC-03,Melissa Hernandez,,False,False,2021-09-29
GRN-2021-0000083,PO-2020-0000142,PO-2020-0000142-L016,VND-000315,PRJ-2023-00775,MAT-00000768,2021-03-14,39,39,0,ACCEPTED,PASSED,CERT-63339667,DN-941PHJ,SITE-B-WAREHOUSE-SEC-06,Lisa Gibbs,,False,False,2021-03-14
GRN-2025-0000084,PO-2020-0000715,PO-2020-0000715-L005,VND-000130,PRJ-2020-00699,MAT-00000569,2025-12-11,345,345,0,ACCEPTED,PASSED,CERT-95704631,DN-386CCT,SITE-C-WAREHOUSE-SEC-05,Wanda Torres,,False,False,2025-12-11
GRN-2019-0000085,PO-2024-0000305,PO-2024-0000305-L030,VND-000947,PRJ-2019-00676,MAT-00000180,2019-11-28,114,0,114,REJECTED,FAILED,,DN-909VGW,SITE-A-WAREHOUSE-SEC-06,Daniel Guerrero,,False,False,2019-11-28
GRN-2020-0000086,PO-2021-0000399,PO-2021-0000399-L001,VND-000317,PRJ-2020-00936,MAT-00000969,2020-10-02,121,121,0,RECEIVED,PASSED,CERT-99991136,DN-232JEK,SITE-B-WAREHOUSE-SEC-04,Jerry Wheeler,,False,False,2020-10-02
GRN-2023-0000087,PO-2020-0000142,PO-2020-0000142-L012,VND-000315,PRJ-2023-00775,MAT-00000041,2023-09-08,427,427,0,ACCEPTED,PASSED,CERT-47546086,DN-403STS,SITE-E-WAREHOUSE-SEC-04,Jordan Mcdaniel,Skin person product value.,False,False,2023-09-08
GRN-2020-0000088,PO-2020-0000778,PO-2020-0000778-L006,VND-000881,PRJ-2022-00400,MAT-00000272,2020-07-02,331,331,0,ACCEPTED,PASSED,CERT-26395999,DN-618OPJ,SITE-A-WAREHOUSE-SEC-04,Samantha Jones,,False,True,2020-07-02
GRN-2020-0000089,PO-2021-0000600,PO-2021-0000600-L003,VND-000537,PRJ-2023-00582,MAT-00000609,2020-05-04,171,171,0,RECEIVED,PASSED,CERT-84384510,DN-249VKS,SITE-B-WAREHOUSE-SEC-05,John Torres,,False,False,2020-05-04
GRN-2021-0000090,PO-2020-0000621,PO-2020-0000621-L009,VND-000323,PRJ-2019-00242,MAT-00000538,2021-03-16,440,440,0,RECEIVED,PASSED,CERT-33420607,DN-648IFC,SITE-B-WAREHOUSE-SEC-05,Andrew Reynolds,Page ago director purpose team.,False,False,2021-03-16
GRN-2021-0000091,PO-2023-0000873,PO-2023-0000873-L001,VND-000038,PRJ-2024-00556,MAT-00000324,2021-01-27,136,136,0,RECEIVED,PASSED,CERT-25253751,DN-904KCW,SITE-B-WAREHOUSE-SEC-06,Julie Pearson,,False,False,2021-01-27
GRN-2023-0000092,PO-2019-0000889,PO-2019-0000889-L017,VND-000735,PRJ-2023-00248,MAT-00000186,2023-12-04,23,0,23,REJECTED,FAILED,,DN-429BOF,SITE-E-WAREHOUSE-SEC-03,Julie Ortiz,,False,False,2023-12-04
GRN-2022-0000093,PO-2019-0000441,PO-2019-0000441-L023,VND-000251,PRJ-2022-00017,MAT-00000829,2022-02-11,38,0,38,REJECTED,FAILED,,DN-512VAS,SITE-C-WAREHOUSE-SEC-05,Matthew Morales DDS,Lawyer fire follow.,False,False,2022-02-11
GRN-2024-0000094,PO-2024-0000915,PO-2024-0000915-L001,VND-000220,PRJ-2022-00123,MAT-00000147,2024-08-08,310,310,0,ACCEPTED,PASSED,CERT-97874085,DN-680QID,SITE-A-WAREHOUSE-SEC-06,Cody Cox,,False,False,2024-08-08
GRN-2020-0000095,PO-2019-0000441,PO-2019-0000441-L027,VND-000251,PRJ-2022-00017,MAT-00000787,2020-07-23,233,233,0,ACCEPTED,PASSED,CERT-67279295,DN-770NRJ,SITE-D-WAREHOUSE-SEC-06,Dwayne Gilmore,,False,False,2020-07-23
GRN-2024-0000096,PO-2024-0000158,PO-2024-0000158-L002,VND-000621,PRJ-2023-00805,MAT-00000434,2024-02-19,222,222,0,RECEIVED,PASSED,CERT-88714010,DN-710OMZ,SITE-C-WAREHOUSE-SEC-02,Christopher Pierce,,False,False,2024-02-19
