po_id,po_type,po_status,priority,vendor_id,project_id,po_date,delivery_date,approval_date,po_value,tax_rate,tax_amount,total_value,currency,payment_terms,delivery_terms,description,buyer_name,requisition_ref,ship_to_address,notes,created_date
PO-2023-0000011,STANDARD,COMPLETED,NORMAL,VND-000501,PRJ-2023-00246,2021-09-13,2022-02-19,2021-09-15,139232.26,0.0,0.0,139232.26,GBP,NET-30,CIF,Enough threat score choice example decision.,Michael Farrell,REQ-2023-172574,"16400 Wise Route Suite 278, Hoffmanville, CA 91074",,2021-09-13
PO-2023-0000012,EMERGENCY,PENDING_APPROVAL,CRITICAL,VND-000924,PRJ-2024-00170,2024-12-01,2025-05-19,,138846.5,0.1,13884.65,152731.15,USD,NET-60,FOB,Nation strong old challenge camera final.,Rebecca Valencia,REQ-2023-665492,"PSC 3315, Box 8692, APO AE 21800",,2024-12-01
PO-2024-0000013,STANDARD,CANCELLED,NORMAL,VND-000725,PRJ-2020-00922,2020-05-10,2020-07-26,2020-05-14,324601.88,0.15,48690.28,373292.16,EUR,NET-30,EXW,Thing agent say forward us soon.,Rita Adams,REQ-2024-680828,"0733 Bailey View, East Andrew, ID 52728",Everything attorney significant go meeting quickly.,2020-05-10
PO-2020-0000014,STANDARD,PENDING_APPROVAL,URGENT,VND-000050,PRJ-2021-00881,2019-10-18,2020-03-11,,24442.13,0.1,2444.21,26886.34,USD,NET-30,DDP,Former agree theory end oil worker although others generation skill.,William Wilson,REQ-2020-324643,"PSC 3406, Box 0883, APO AA 57032",,2019-10-18
PO-2024-0000015,FRAMEWORK,ISSUED,NORMAL,VND-000672,PRJ-2022-00195,2020-02-02,2020-06-05,2020-02-08,30641.13,0.0,0.0,30641.13,EUR,NET-60,CIF,We TV perhaps professional by.,Katie Estrada,REQ-2024-864491,"236 Byrd Extensions Suite 680, Justinchester, WY 76520",Pressure let kind degree list top somebody college.,2020-02-02
PO-2024-0000016,FRAMEWORK,ISSUED,NORMAL,VND-000167,PRJ-2021-00255,2021-02-18,2021-07-19,2021-02-26,123655.53,0.05,6182.78,129838.31,USD,NET-30,FOB,Exist professional people behavior weight.,Eric Drake,REQ-2024-585100,"79176 Jennifer Lights, Rossberg, SD 90629",Throughout team those.,2021-02-18
PO-2019-0000017,STANDARD,PARTIALLY_RECEIVED,URGENT,VND-000912,PRJ-2022-00857,2020-01-18,2020-04-01,2020-01-21,72013.05,0.0,0.0,72013.05,USD,NET-60,CIF,Despite sound receive let newspaper true building card let.,Kristin Stewart,REQ-2019-520521,"868 Merritt Summit Suite 743, Katiehaven, NM 82650",,2020-01-18
PO-2020-0000018,STANDARD,ISSUED,CRITICAL,VND-000754,PRJ-2020-00293,2024-06-16,2024-08-08,2024-06-20,354015.79,0.15,53102.37,407118.16,EUR,NET-30,DAP,Ever back experience even floor music catch.,Michael Mccarthy,REQ-2020-707314,"8760 Marissa Loaf Apt. 967, West Kennethfurt, PR 55422",,2024-06-16
PO-2019-0000019,EMERGENCY,PENDING_APPROVAL,CRITICAL,VND-000839,PRJ-2023-00942,2019-08-21,2020-01-12,,81664.21,0.05,4083.21,85747.42,USD,NET-30,FOB,Section national owner determine detail job ahead from quickly identify.,John Anderson,REQ-2019-723939,"9901 Taylor Mountain, North Jorge, MD 28243",Force seven here sell story edge bank.,2019-08-21
PO-2020-0000020,STANDARD,PARTIALLY_RECEIVED,CRITICAL,VND-000062,PRJ-2023-00635,2023-09-14,2024-02-24,2023-09-24,44588.69,0.0,0.0,44588.69,USD,NET-60,DAP,See appear weight difference.,Tyler Williams,REQ-2020-314181,"09232 Caldwell Port, South Holly, WI 48852",,2023-09-14
PO-2021-0000021,STANDARD,PARTIALLY_RECEIVED,NORMAL,VND-000513,PRJ-2020-00952,2019-02-08,2019-06-19,2019-02-18,1409546.42,0.0,0.0,1409546.42,USD,LC-90-DAYS,DAP,Paper white responsibility sing clearly find.,Tanya Johnston,REQ-2021-176819,"PSC 6631, Box 9314, APO AP 79198",,2019-02-08
PO-2023-0000022,STANDARD,COMPLETED,CRITICAL,VND-000605,PRJ-2020-00292,2023-11-30,2024-05-01,2023-12-12,185177.19,0.05,9258.86,194436.05,GBP,NET-60,DAP,Someone not American mouth product attention.,Alexandria Fisher,REQ-2023-946305,"7262 Gilbert Plain Suite 769, Marcusbury, MP 11860",,2023-11-30
PO-2019-0000023,BLANKET,COMPLETED,NORMAL,VND-000210,PRJ-2023-00271,2020-03-14,2020-08-16,2020-03-17,263295.92,0.0,0.0,263295.92,USD,NET-30,DDP,Think during let particular her agreement surface.,Daniel Salinas,REQ-2019-852470,"083 John Lodge Suite 837, Westtown, CO 39067",,2020-03-14
PO-2024-0000024,BLANKET,ISSUED,NORMAL,VND-000080,PRJ-2020-00095,2022-02-07,2022-03-04,2022-02-08,43927.78,0.15,6589.17,50516.95,SAR,NET-60,FOB,Identify during professional hard network gas you.,Heather Chavez,REQ-2024-374680,"35182 Javier Orchard, Jennyhaven, PA 37594",Strategy fast guess few.,2022-02-07
PO-2022-0000025,BLANKET,DRAFT,NORMAL,VND-000237,PRJ-2024-00559,2023-02-21,2023-08-03,,126341.11,0.0,0.0,126341.11,USD,NET-90,CIF,Call animal approach factor want point sell bill activity expect.,Glen Sheppard,REQ-2022-143860,"16719 Edward Valleys Suite 131, Obrienbury, WI 68995",,2023-02-21
PO-2019-0000026,FRAMEWORK,APPROVED,NORMAL,VND-000938,PRJ-2024-00906,2020-09-25,2020-12-08,2020-10-09,277369.85,0.15,41605.48,318975.33,USD,NET-30,FCA,Late kind team wrong figure perform participant science.,Christine Clark,REQ-2019-285652,"28120 Hayes Ranch, Carterbury, LA 93163",,2020-09-25
PO-2019-0000027,STANDARD,COMPLETED,CRITICAL,VND-000401,PRJ-2022-00274,2020-03-18,2020-07-07,2020-04-01,61010.89,0.05,3050.54,64061.43,USD,NET-30,CIF,Reflect law reach under skin person product.,Jessica Stephens,REQ-2019-309267,"10249 Gonzales Mountain Suite 648, Kimton, FM 57127",,2020-03-18
PO-2022-0000028,STANDARD,COMPLETED,URGENT,VND-000306,PRJ-2022-00409,2022-02-15,2022-03-18,2022-02-28,381107.83,0.1,38110.78,419218.61,USD,NET-30,DDP,Page ago director purpose team onto again share.,Laura Hines,REQ-2022-519093,"2967 Theodore Lodge Suite 512, Robertfort, LA 87347",,2022-02-15
PO-2023-0000029,STANDARD,COMPLETED,NORMAL,VND-000976,PRJ-2024-00986,2019-06-06,2019-07-17,2019-06-16,118093.69,0.1,11809.37,129903.06,USD,NET-60,DDP,Spend nearly lawyer fire follow wife identify method.,Mary Daniels MD,REQ-2023-428914,"770 Joseph Curve Suite 771, Lake Chelseabury, VT 21259",,2019-06-06
PO-2023-0000030,STANDARD,APPROVED,URGENT,VND-000723,PRJ-2020-00002,2023-01-31,2023-06-04,2023-02-02,171093.85,0.05,8554.69,179648.54,USD,LC-90-DAYS,DAP,Nearly need behavior yeah tree left brother.,Kathleen Moran,REQ-2023-753425,"7737 Patrick Rapid Apt. 146, Sarahhaven, KY 00837",,2023-01-31
PO-2019-0000031,EMERGENCY,ISSUED,CRITICAL,VND-000676,PRJ-2024-00335,2022-04-26,2022-09-28,2022-04-29,117942.45,0.15,17691.37,135633.82,USD,NET-30,DDP,Rise study oil process tend land machine.,Phillip Bennett,REQ-2019-497562,"USNS Pollard, FPO AE 75447",,2022-04-26
PO-2020-0000032,BLANKET,PARTIALLY_RECEIVED,NORMAL,VND-000470,PRJ-2022-00216,2022-08-12,2022-12-23,2022-08-20,2241674.8,0.15,336251.22,2577926.02,USD,NET-60,FOB,Do simply analysis seat relate specific history professional.,Veronica Simpson,REQ-2020-596171,"71870 Robert Shoal Apt. 174, Cindyfurt, SD 11028",,2022-08-12
PO-2024-0000033,STANDARD,PARTIALLY_RECEIVED,NORMAL,VND-000546,PRJ-2023-00096,2022-06-25,2022-09-04,2022-07-08,238900.72,0.05,11945.04,250845.76,EUR,NET-30,EXW,System teacher here first responsibility service their along.,Mark Mccall,REQ-2024-356736,"Unit 1611 Box 7240, DPO AE 43017",,2022-06-25
PO-2023-0000034,FRAMEWORK,ISSUED,NORMAL,VND-000308,PRJ-2020-00736,2024-07-17,2024-11-10,2024-07-21,68237.32,0.15,10235.6,78472.92,EUR,NET-30,DDP,Fall hear certainly most not.,Carolyn Miller,REQ-2023-887443,"9237 Stevens Shores, Port Stevenport, TX 72144",,2024-07-17
PO-2019-0000035,EMERGENCY,APPROVED,CRITICAL,VND-000868,PRJ-2024-00476,2021-10-17,2021-12-01,2021-10-25,651513.82,0.0,0.0,651513.82,GBP,NET-30,CIF,Available war write federal while real.,Eric Kidd,REQ-2019-656932,"69594 Johnson Village, Hillshire, VI 90390",,2021-10-17
PO-2023-0000036,STANDARD,ISSUED,URGENT,VND-000844,PRJ-2020-00437,2020-10-13,2021-02-25,2020-10-21,56105.42,0.15,8415.81,64521.23,GBP,NET-30,FOB,Treat seat strategy total simply.,Robert Robinson,REQ-2023-768636,"210 Kramer Bypass Suite 214, Julieburgh, ID 17823",Theory hand maybe evening clearly trial want.,2020-10-13
PO-2023-0000037,STANDARD,ISSUED,NORMAL,VND-000376,PRJ-2024-00279,2022-08-02,2023-01-01,2022-08-04,311961.89,0.1,31196.19,343158.08,EUR,NET-30,FOB,Second full boy while cell whom team.,Veronica Coffey,REQ-2023-827659,"60481 Richardson Summit Suite 965, Lake Jesustown, RI 74085",Trip determine as statement travel few.,2022-08-02
PO-2020-0000038,STANDARD,PARTIALLY_RECEIVED,NORMAL,VND-000327,PRJ-2023-00853,2023-05-15,2023-10-25,2023-05-27,23118.67,0.15,3467.8,26586.47,USD,NET-30,FCA,Bring animal also you break doctor Mr home.,Travis Horton,REQ-2020-703655,"1796 Johnson Land, South Sean, IA 48038",,2023-05-15
PO-2019-0000039,FRAMEWORK,ISSUED,NORMAL,VND-000696,PRJ-2024-00552,2024-06-22,2024-08-31,2024-06-27,49324.53,0.05,2466.23,51790.76,GBP,NET-60,EXW,Wonder happen top population art.,Walter Rush,REQ-2019-452457,"390 Kristin Gardens, Port Anne, CA 73142",,2024-06-22
PO-2022-0000040,EMERGENCY,COMPLETED,CRITICAL,VND-000901,PRJ-2020-00028,2019-04-22,2019-05-27,2019-05-03,307500.96,0.15,46125.14,353626.1,SAR,NET-60,FCA,Only spend do similar small other.,William Huerta,REQ-2022-290556,"02053 Smith Greens, East Judyhaven, DE 98236",Live sing message board.,2019-04-22
PO-2022-0000041,STANDARD,ISSUED,NORMAL,VND-000457,PRJ-2019-00771,2021-10-30,2021-12-03,2021-11-07,588987.3,0.15,88348.1,677335.4,GBP,NET-30,CIF,Develop past road training probably feeling poor all your.,Jessica Rodriguez,REQ-2022-466960,"15921 Joshua Roads Suite 698, Shawnchester, CT 92484",Table prepare shoulder result.,2021-10-30
PO-2019-0000042,EMERGENCY,PARTIALLY_RECEIVED,CRITICAL,VND-000399,PRJ-2023-00205,2020-09-16,2020-11-30,2020-09-19,298236.46,0.0,0.0,298236.46,EUR,NET-60,FOB,Involve thousand including still human role.,Erik Scott,REQ-2019-328552,"USCGC Jones, FPO AE 12720",,2020-09-16
PO-2021-0000043,EMERGENCY,APPROVED,CRITICAL,VND-000177,PRJ-2021-00797,2022-06-28,2022-08-08,2022-07-08,211339.7,0.05,10566.99,221906.69,EUR,NET-30,FOB,Benefit school speech news only no form business government.,Nicole Parrish,REQ-2021-810250,"451 Eric Orchard Apt. 158, Dannyview, OK 30144",,2022-06-28
PO-2022-0000044,STANDARD,PENDING_APPROVAL,URGENT,VND-000394,PRJ-2020-00105,2020-05-10,2020-10-15,,169172.73,0.1,16917.27,186090.0,EUR,ADVANCE-30%,FOB,Suddenly window stand party poor ago upon stop environment.,Michael Parker,REQ-2022-549186,"29612 Christopher Pines, South Robert, MA 21132",,2020-05-10
PO-2019-0000045,BLANKET,COMPLETED,NORMAL,VND-000164,PRJ-2020-00444,2024-02-27,2024-04-20,2024-03-05,41182.7,0.1,4118.27,45300.97,GBP,NET-30,CIF,Find food walk other third choose senior anyone.,Jeremy Coleman,REQ-2019-782054,"3815 Rodriguez Springs Suite 840, South Tracey, AR 01508",Feeling deep case eight foreign.,2024-02-27
PO-2023-0000046,EMERGENCY,ISSUED,CRITICAL,VND-000996,PRJ-2022-00275,2021-10-02,2021-11-07,2021-10-07,102353.41,0.1,10235.34,112588.75,GBP,LC-AT-SIGHT,FOB,Market issue can mouth.,Justin Barnett,REQ-2023-587282,"060 Morse Wall Suite 969, Mckinneychester, LA 15597",,2021-10-02
PO-2024-0000047,STANDARD,COMPLETED,NORMAL,VND-000338,PRJ-2024-00364,2022-10-26,2023-01-19,2022-11-05,139697.34,0.1,13969.73,153667.07,USD,ADVANCE-30%,FOB,Again foot soon peace story turn because such.,Kevin Warren,REQ-2024-110644,"535 Charles Roads Apt. 883, Michaelberg, IA 13975",,2022-10-26
PO-2020-0000048,STANDARD,ISSUED,URGENT,VND-000794,PRJ-2020-00662,2024-01-10,2024-01-28,2024-01-12,863325.15,0.15,129498.77,992823.92,EUR,NET-30,CIF,Eight community check service away week.,Julie Elliott,REQ-2020-355123,"527 Taylor Roads Suite 490, Williamport, NH 59734",,2024-01-10
PO-2023-0000049,STANDARD,ISSUED,NORMAL,VND-000926,PRJ-2024-00339,2024-02-02,2024-04-25,2024-02-07,366715.62,0.1,36671.56,403387.18,SAR,NET-30,FOB,Arm story baby ten talk.,Katie Ford,REQ-2023-301939,"9359 Mason Circle, Garciamouth, VT 11554",,2024-02-02
PO-2024-0000050,BLANKET,APPROVED,URGENT,VND-000809,PRJ-2024-00284,2020-02-16,2020-04-19,2020-02-21,29270.98,0.1,2927.1,32198.08,USD,NET-30,FOB,Position always remain yard model particular hair truth hold.,Meghan Williams,REQ-2024-114835,"51864 Cummings Shoals Apt. 519, West Kyle, SD 92052",,2020-02-16
PO-2020-0000051,STANDARD,PARTIALLY_RECEIVED,CRITICAL,VND-000196,PRJ-2019-00654,2020-02-25,2020-03-13,2020-03-06,358219.34,0.15,53732.9,411952.24,EUR,NET-30,CIF,Can remember be next poor foreign campaign reflect.,Yolanda Gaines,REQ-2020-457256,"505 White Forest Suite 733, East Chris, PR 13757",Side strong this also from short capital.,2020-02-25
PO-2019-0000052,STANDARD,PENDING_APPROVAL,URGENT,VND-000820,PRJ-2021-00076,2020-09-13,2020-11-04,,152955.34,0.0,0.0,152955.34,USD,LC-AT-SIGHT,DAP,Child Congress realize person total return analysis hair.,Tracy Bishop,REQ-2019-189318,"83473 Gregory Ports Suite 746, Burchborough, AS 79755",,2020-09-13
PO-2019-0000053,BLANKET,PARTIALLY_RECEIVED,NORMAL,VND-000874,PRJ-2023-00390,2023-12-19,2024-03-18,2024-01-02,107763.43,0.15,16164.51,123927.94,EUR,NET-90,CIF,Their appear lose he various represent.,Belinda Miller,REQ-2019-696251,"261 Lisa Keys Apt. 606, Joeland, MN 29931",,2023-12-19
PO-2023-0000054,FRAMEWORK,COMPLETED,NORMAL,VND-000427,PRJ-2019-00677,2020-10-05,2020-12-19,2020-10-08,505858.14,0.0,0.0,505858.14,EUR,NET-90,FOB,Five between research friend certainly.,Thomas Kennedy,REQ-2023-528361,"9010 Lewis Drive Suite 143, Davidbury, MT 84249",,2020-10-05
PO-2023-0000055,STANDARD,ISSUED,NORMAL,VND-000753,PRJ-2022-00073,2021-12-19,2022-06-11,2021-12-29,836682.07,0.05,41834.1,878516.17,USD,NET-90,DAP,Lead book toward others administration middle drop century investment pass drive.,Matthew Miller,REQ-2023-545790,"Unit 1888 Box 8806, DPO AA 06207",Wonder effect administration small general run.,2021-12-19
PO-2020-0000056,BLANKET,COMPLETED,CRITICAL,VND-000264,PRJ-2020-00812,2022-03-28,2022-08-01,2022-03-30,742320.33,0.1,74232.03,816552.36,USD,NET-60,FOB,Billion old series card good full poor store range wonder long.,Chad Baldwin,REQ-2020-522060,"USS Carter, FPO AE 26645",,2022-03-28
PO-2023-0000057,BLANKET,PARTIALLY_RECEIVED,NORMAL,VND-000526,PRJ-2022-00619,2019-04-16,2019-05-23,2019-04-20,88693.24,0.1,8869.32,97562.56,GBP,LC-90-DAYS,FCA,Firm financial huge spring list.,Matthew Mitchell,REQ-2023-703139,"541 Kim Locks, Klinefurt, MA 24987",,2019-04-16
PO-2019-0000058,FRAMEWORK,ISSUED,NORMAL,VND-000278,PRJ-2021-00482,2022-02-13,2022-04-14,2022-02-23,167534.6,0.15,25130.19,192664.79,USD,NET-60,FCA,Reality happen something entire bar interesting issue yet Congress.,Brian Murphy,REQ-2019-195674,"627 West Stream Suite 964, North Emilyfurt, MN 67752",,2022-02-13
PO-2022-0000059,STANDARD,COMPLETED,NORMAL,VND-000827,PRJ-2020-00296,2019-05-31,2019-10-08,2019-06-02,361318.86,0.15,54197.83,415516.69,USD,NET-60,FOB,Well central parent sit alone attack.,Holly Reyes,REQ-2022-910075,"755 Hines Ports, New Michael, MD 85640",,2019-05-31
PO-2023-0000060,FRAMEWORK,COMPLETED,NORMAL,VND-000083,PRJ-2022-00193,2024-08-03,2025-01-24,2024-08-11,782816.94,0.1,78281.69,861098.63,USD,ADVANCE-30%,FOB,Economic box save material hit no energy.,Jeremy Davies,REQ-2023-675898,"12172 Osborn Valleys Suite 518, Patriciaburgh, VT 93504",Soldier meeting building cut.,2024-08-03
PO-2021-0000061,STANDARD,PENDING_APPROVAL,NORMAL,VND-000386,PRJ-2020-00727,2022-06-26,2022-11-28,,136624.41,0.05,6831.22,143455.63,SAR,NET-30,CIF,Door management guess occur level work.,Stephen Jones,REQ-2021-335615,"669 David Island Apt. 778, Davidside, SC 77543",,2022-06-26
PO-2019-0000062,STANDARD,COMPLETED,NORMAL,VND-000475,PRJ-2024-00522,2023-08-29,2024-01-13,2023-09-06,194309.83,0.1,19430.98,213740.81,USD,NET-30,CIF,Should can me than story million.,Christopher Donovan,REQ-2019-502219,"43842 Mendez Course Apt. 992, Lake Claudia, MH 79817",Successful nor stay agreement animal political.,2023-08-29
PO-2023-0000063,BLANKET,COMPLETED,URGENT,VND-000690,PRJ-2023-00349,2019-01-11,2019-04-07,2019-01-23,64369.68,0.1,6436.97,70806.65,USD,NET-30,CIF,Enough decision occur peace air threat nation politics few each.,Jennifer Chavez,REQ-2023-791998,"6773 Lawson Island, Jessicastad, MO 17640",,2019-01-11
PO-2020-0000064,STANDARD,ISSUED,NORMAL,VND-000613,PRJ-2021-00467,2021-02-11,2021-04-27,2021-02-21,57788.9,0.1,5778.89,63567.79,EUR,NET-60,FCA,Middle blood drop business last cell anything war.,Jennifer Estes,REQ-2020-530728,"PSC 5953, Box 2787, APO AA 40942",Age war measure whom Democrat good anything.,2021-02-11
PO-2024-0000065,STANDARD,ISSUED,CRITICAL,VND-000243,PRJ-2024-00508,2020-06-01,2020-10-21,2020-06-11,643727.63,0.0,0.0,643727.63,SAR,NET-60,FOB,Our successful pull experience account blue care enough hand.,Andrew Williams,REQ-2024-986088,"416 Duran Harbors Apt. 216, Lauramouth, OH 48421",,2020-06-01
PO-2023-0000066,FRAMEWORK,APPROVED,NORMAL,VND-000248,PRJ-2023-00077,2021-12-21,2022-03-31,2021-12-31,1236120.04,0.15,185418.01,1421538.05,GBP,NET-90,DDP,Current meeting matter and case four.,Jesus Obrien,REQ-2023-993140,"526 Wheeler Parkways Suite 947, West Markville, MT 77008",,2021-12-21
PO-2024-0000067,FRAMEWORK,ISSUED,NORMAL,VND-000814,PRJ-2022-00894,2019-10-08,2019-12-21,2019-10-19,222701.56,0.0,0.0,222701.56,EUR,NET-90,FOB,Someone rise read ago listen whose situation.,Laura Griffith,REQ-2024-338536,"962 Anthony Squares, East Andrewmouth, MT 20349",,2019-10-08
PO-2022-0000068,FRAMEWORK,COMPLETED,URGENT,VND-000265,PRJ-2023-00711,2019-04-29,2019-05-24,2019-05-05,809554.58,0.1,80955.46,890510.04,USD,ADVANCE-30%,FOB,Real improve simple turn their save artist catch.,Frederick Bates,REQ-2022-493049,"78585 Bishop Fields Apt. 484, West Kellie, VT 27669",,2019-04-29
PO-2020-0000069,BLANKET,COMPLETED,NORMAL,VND-000121,PRJ-2020-00625,2021-09-13,2022-02-01,2021-09-23,374730.82,0.15,56209.62,430940.44,USD,NET-30,CIF,First give value somebody event business quality here woman.,Tina Ballard,REQ-2020-366314,"157 Burgess Forest Apt. 848, Derrickshire, IA 32280",,2021-09-13
PO-2024-0000070,STANDARD,COMPLETED,URGENT,VND-000251,PRJ-2021-00076,2022-11-16,2023-04-29,2022-11-21,111955.45,0.15,16793.32,128748.77,EUR,NET-90,CIF,Prove most point appear including.,Ashlee Townsend,REQ-2024-362246,"7734 Mitchell Circle, Lake Audreyside, WA 95281",,2022-11-16
PO-2021-0000071,STANDARD,ISSUED,NORMAL,VND-000959,PRJ-2023-00368,2022-04-24,2022-05-13,2022-05-08,374622.72,0.1,37462.27,412084.99,USD,NET-90,FOB,Tree company think compare try.,Jennifer Simpson DVM,REQ-2021-693419,"USNV Mcdowell, FPO AE 39611",,2022-04-24
PO-2024-0000072,FRAMEWORK,COMPLETED,CRITICAL,VND-000470,PRJ-2019-00795,2022-12-14,2023-02-22,2022-12-25,1537462.49,0.05,76873.12,1614335.61,GBP,NET-30,FOB,Owner up friend lawyer political modern threat care mean evening.,Erin Simon,REQ-2024-892280,"54932 Wilcox Passage, Christopherville, HI 18931",,2022-12-14
PO-2024-0000073,BLANKET,PENDING_APPROVAL,NORMAL,VND-000062,PRJ-2020-00317,2019-05-17,2019-10-26,,232584.47,0.15,34887.67,267472.14,EUR,NET-60,FOB,Food easy end dog send west few reveal activity.,Melissa Brown,REQ-2024-409445,"68414 Mendez Forges Apt. 727, Robertside, PW 62213",,2019-05-17
PO-2022-0000074,STANDARD,PARTIALLY_RECEIVED,NORMAL,VND-000893,PRJ-2022-00514,2020-11-04,2021-01-22,2020-11-18,1587343.44,0.1,158734.34,1746077.78,SAR,LC-90-DAYS,DAP,Soon stay seven quite other skin moment month gun true.,Ronald Leach,REQ-2022-409478,"58713 Davis Pass, Stokesmouth, DC 67773",,2020-11-04
PO-2021-0000075,FRAMEWORK,PENDING_APPROVAL,NORMAL,VND-000363,PRJ-2021-00881,2023-02-07,2023-03-16,,10470.38,0.15,1570.56,12040.94,EUR,ADVANCE-30%,EXW,Lead around left southern rich how staff second official.,Gregory Brown,REQ-2021-662636,"Unit 1704 Box 6226, DPO AA 50633",Thank trade heart radio product much president.,2023-02-07
PO-2021-0000076,BLANKET,PARTIALLY_RECEIVED,NORMAL,VND-000607,PRJ-2022-00111,2024-04-15,2024-05-05,2024-04-25,651011.77,0.05,32550.59,683562.36,GBP,LC-AT-SIGHT,CIF,Budget year hotel camera without strong series without.,Nathan Coleman,REQ-2021-739717,"75243 Antonio Shore, Mendeztown, IA 27512",Beyond almost our reflect.,2024-04-15
PO-2019-0000077,BLANKET,COMPLETED,NORMAL,VND-000179,PRJ-2024-00144,2019-06-02,2019-09-01,2019-06-10,269535.8,0.0,0.0,269535.8,EUR,NET-30,FOB,Each analysis keep music senior.,Brenda Holder,REQ-2019-663658,"953 Walter Shore Apt. 644, New Stacyburgh, SC 89466",New another general poor high modern.,2019-06-02
PO-2022-0000078,STANDARD,PARTIALLY_RECEIVED,CRITICAL,VND-000988,PRJ-2021-00761,2023-08-27,2023-10-05,2023-09-10,169598.84,0.05,8479.94,178078.78,USD,NET-60,CIF,Impact feel contain Mrs drive different tax certain leg.,Jason Butler,REQ-2022-393328,"43517 Davis Stream Apt. 046, Port Charlesshire, VA 88509",Describe decade trade field training deep couple.,2023-08-27
PO-2021-0000079,STANDARD,APPROVED,NORMAL,VND-000603,PRJ-2023-00558,2019-09-06,2019-12-30,2019-09-11,271064.73,0.1,27106.47,298171.2,USD,NET-30,FOB,Section senior trial receive region however.,Frank Campbell,REQ-2021-989227,"4587 Garcia Stravenue Suite 535, Robertshire, VI 29503",,2019-09-06
