employee_id,employee_code,first_name,last_name,email,phone,department,job_title,grade,approval_limit,hire_date,active,location,certification,nationality,years_experience,cost_center,created_date
EMP-000011,PRJ00011,جودي,Williams,prj00011@company.com,001-682-827-8248x96383,PROJECTS,PMO Lead,L5,10000000.0,2018-12-16,True,Field Camp,PMI-SP,Indian,4,CC-PRJ-981,2018-12-16
EMP-000012,PRO00012,بوران,Perez,pro00012@company.com,213.331.5098x393,PROCUREMENT,Procurement Specialist,L3,200000.0,2019-06-21,True,Site Office A,,Jordanian,34,CC-PRO-357,2019-06-21
EMP-000013,CTR00013,Collin,Nixon,ctr00013@company.com,818-534-7382x99737,CONTRACTS,Claims Analyst,L4,1000000.0,2010-04-05,True,Head Office,,Sudanese,18,CC-CTR-887,2010-04-05
EMP-000014,PRJ00014,Declan,Wright,prj00014@company.com,+44(0)1514960010,PROJECTS,Project Coordinator,L1,10000.0,2019-10-02,True,Head Office,,Filipino,33,CC-PRJ-880,2019-10-02
EMP-000015,PRO00015,Denise,آل الشيخ,pro00015@company.com,+1-972-362-4731,PROCUREMENT,Procurement Lead,L5,10000000.0,2016-09-10,True,Site Office B,CPM,Pakistani,35,CC-PRO-897,2016-09-10
EMP-000016,CTR00016,Bethan,المهيدب,ctr00016@company.com,001-932-667-7360x26064,CONTRACTS,Contracts Manager,L5,10000000.0,2023-06-08,True,Head Office,,British,20,CC-CTR-345,2023-06-08
EMP-000017,PRO00017,نظام,Brown,pro00017@company.com,001-272-934-3098x050,PROCUREMENT,Procurement Lead,L5,10000000.0,2011-10-08,True,Site Office A,CSCP,Pakistani,31,CC-PRO-662,2011-10-08
EMP-000018,PRO00018,رؤوف,Moss,pro00018@company.com,521-291-3619,PROCUREMENT,Senior Buyer,L2,50000.0,2023-08-10,True,Head Office,,Egyptian,20,CC-PRO-508,2023-08-10
EMP-000019,CTR00019,Amanda,آل محمد بن علي بن جماز,ctr00019@company.com,954.335.3462x47510,CONTRACTS,Contract Engineer,L3,200000.0,2019-10-29,True,Site Office A,,Egyptian,15,CC-CTR-165,2019-10-29
EMP-000020,ENG00020,Joseph,Newton,eng00020@company.com,(613)354-2784x980,ENGINEERING,Lead Engineer,L3,200000.0,2015-03-01,True,Head Office,,Saudi,15,CC-ENG-169,2015-03-01
EMP-000021,CTR00021,Adam,Walsh,ctr00021@company.com,849-635-3487x401,CONTRACTS,Claims Analyst,L4,1000000.0,2011-08-04,True,Head Office,,Jordanian,14,CC-CTR-652,2011-08-04
EMP-000022,PRO00022,تمّام,Jones,pro00022@company.com,(0116)4960786,PROCUREMENT,Procurement Lead,L5,10000000.0,2022-10-22,True,Head Office,,American,13,CC-PRO-196,2022-10-22
EMP-000023,PRO00023,Simon,Kelly,pro00023@company.com,(280)659-8262,PROCUREMENT,Senior Buyer,L2,50000.0,2019-07-02,True,Regional Office,CIPS,Saudi,26,CC-PRO-845,2019-07-02
EMP-000024,ENG00024,Sam,آل خضير,eng00024@company.com,+1-815-586-9232x26025,ENGINEERING,Design Engineer,L4,1000000.0,2015-07-30,True,Site Office B,PMP,Filipino,30,CC-ENG-355,2015-07-30
EMP-000025,LEG00025,Lisa,Stone,leg00025@company.com,+44909 8790073,LEGAL,Legal Officer,L1,10000.0,2022-05-06,True,Warehouse,,Sudanese,1,CC-LEG-195,2022-05-06
EMP-000026,CTR00026,Darrell,Carpenter,ctr00026@company.com,803.765.4145,CONTRACTS,Claims Analyst,L4,1000000.0,2013-09-24,True,Site Office A,,American,4,CC-CTR-268,2013-09-24
EMP-000027,ENG00027,Terry,Butler,eng00027@company.com,+44(0)113 496 0196,ENGINEERING,Engineering Manager,L6,,2015-12-13,False,Regional Office,LEED AP,Pakistani,13,CC-ENG-403,2015-12-13
EMP-000028,PRO00028,Brian,الجابر,pro00028@company.com,569-734-0608,PROCUREMENT,Buyer,L1,10000.0,2022-02-28,True,Site Office A,CPSM,Sudanese,34,CC-PRO-261,2022-02-28
EMP-000029,PRO00029,Lorraine,Torres,pro00029@company.com,414-684-6564x82366,PROCUREMENT,Senior Buyer,L2,50000.0,2014-03-03,True,Head Office,,American,8,CC-PRO-683,2014-03-03
EMP-000030,PRO00030,Emily,Drake,pro00030@company.com,(799)357-7738x72148,PROCUREMENT,Procurement Specialist,L3,200000.0,2023-11-22,True,Warehouse,,British,17,CC-PRO-309,2023-11-22
EMP-000031,PRJ00031,Tracey,Hernandez,prj00031@company.com,5038791769,PROJECTS,Planner,L2,50000.0,2015-12-16,True,Warehouse,PMI-ACP,Indian,1,CC-PRJ-569,2015-12-16
EMP-000032,PRJ00032,Aaron,King,prj00032@company.com,5163328708,PROJECTS,Scheduler,L3,200000.0,2012-03-30,True,Head Office,PMI-ACP,Indian,16,CC-PRJ-478,2012-03-30
EMP-000033,ENG00033,مُتوكّل,آل قصير,eng00033@company.com,+1-557-698-6872x774,ENGINEERING,Senior Engineer,L2,50000.0,2022-03-09,True,Site Office B,,Sudanese,1,CC-ENG-783,2022-03-09
EMP-000034,HSE00034,Albert,Lawrence,hse00034@company.com,(0151) 4960143,HSE,HSE Officer,L1,10000.0,2012-04-28,False,Head Office,NEBOSH,Sudanese,10,CC-HSE-378,2012-04-28
EMP-000035,ENG00035,Benjamin,Wall,eng00035@company.com,(723)962-3166,ENGINEERING,Engineer,L1,10000.0,2017-09-09,True,Site Office B,LEED AP,Filipino,4,CC-ENG-194,2017-09-09
EMP-000036,PRJ00036,Lesley,Bender,prj00036@company.com,(0306)9990909,PROJECTS,Project Manager,L4,1000000.0,2010-12-28,True,Regional Office,,Filipino,11,CC-PRJ-859,2010-12-28
EMP-000037,ENG00037,هيام,حجار,eng00037@company.com,0306 999 0668,ENGINEERING,Lead Engineer,L3,200000.0,2022-07-31,True,Head Office,,Pakistani,35,CC-ENG-136,2022-07-31
EMP-000038,HSE00038,ودود,آل العسكري,hse00038@company.com,234.867.0656x2729,HSE,Environmental Specialist,L3,200000.0,2013-04-28,True,Head Office,NEBOSH,British,14,CC-HSE-798,2013-04-28
EMP-000039,PRO00039,Howard,Ruiz,pro00039@company.com,+1-862-672-0465x3755,PROCUREMENT,Buyer,L1,10000.0,2022-07-23,True,Site Office A,,Pakistani,16,CC-PRO-985,2022-07-23
EMP-000040,PRO00040,David,آل رفيع,pro00040@company.com,+1-205-431-0033,PROCUREMENT,Category Manager,L4,1000000.0,2013-12-21,True,Head Office,,British,27,CC-PRO-921,2013-12-21
EMP-000041,PRJ00041,جلال,Allen,prj00041@company.com,674.352.9912,PROJECTS,Scheduler,L3,200000.0,2015-07-26,True,Regional Office,PMP,Jordanian,15,CC-PRJ-304,2015-07-26
EMP-000042,HSE00042,بنفسج,Garcia,hse00042@company.com,(0141)4960319,HSE,Safety Inspector,L2,50000.0,2016-11-05,True,Regional Office,OSHA 30,American,22,CC-HSE-385,2016-11-05
EMP-000043,LEG00043,Michael,Adams,leg00043@company.com,0909 8790919,LEGAL,General Counsel,L6,,2016-04-05,True,Site Office B,,Sudanese,22,CC-LEG-128,2016-04-05
EMP-000044,PRO00044,Jenna,Stanley,pro00044@company.com,950.967.1657x26284,PROCUREMENT,Procurement Manager,L6,,2014-01-02,True,Field Camp,CPSM,British,21,CC-PRO-546,2014-01-02
EMP-000045,PRJ00045,Justin,Kelly,prj00045@company.com,247-937-9965,PROJECTS,Planner,L2,50000.0,2018-08-22,True,Head Office,PMI-SP,Saudi,34,CC-PRJ-925,2018-08-22
EMP-000046,FIN00046,توفيق,آل عطفة,fin00046@company.com,(0131) 496 0494,FINANCE,AP Specialist,L3,200000.0,2014-06-03,True,Head Office,,British,21,CC-FIN-779,2014-06-03
EMP-000047,HSE00047,Richard,Torres,hse00047@company.com,367.683.7770,HSE,Environmental Specialist,L3,200000.0,2016-09-26,True,Warehouse,IOSH,Sudanese,9,CC-HSE-296,2016-09-26
EMP-000048,ENG00048,Jennifer,Baldwin,eng00048@company.com,(678)585-6855x744,ENGINEERING,Project Engineer,L5,10000000.0,2013-11-26,True,Site Office A,,Saudi,20,CC-ENG-393,2013-11-26
EMP-000049,PRO00049,Stephen,المهنا,pro00049@company.com,001-723-437-4989x41343,PROCUREMENT,Category Manager,L4,1000000.0,2023-08-10,True,Site Office A,,Egyptian,33,CC-PRO-584,2023-08-10
EMP-000050,HSE00050,Jeffrey,King,hse00050@company.com,900-984-2710x947,HSE,Chief Safety Officer,L6,,2013-10-22,True,Head Office,,Bangladeshi,22,CC-HSE-195,2013-10-22
EMP-000051,HSE00051,Barbara,آل بن لافي,hse00051@company.com,(0115)4960167,HSE,HSE Manager,L4,1000000.0,2016-12-17,True,Head Office,OSHA 30,Jordanian,5,CC-HSE-566,2016-12-17
EMP-000052,ENG00052,Angela,Taylor,eng00052@company.com,(594)813-1869,ENGINEERING,Lead Engineer,L3,200000.0,2014-05-12,True,Site Office A,,Pakistani,1,CC-ENG-868,2014-05-12
EMP-000053,LEG00053,يسرى,Meza,leg00053@company.com,+44121 496 0990,LEGAL,Legal Manager,L5,10000000.0,2019-07-15,True,Regional Office,,Sudanese,30,CC-LEG-151,2019-07-15
EMP-000054,PRJ00054,Jesse,آل مقطة,prj00054@company.com,+1-934-612-3281x2067,PROJECTS,PMO Lead,L5,10000000.0,2012-09-21,True,Regional Office,,Sudanese,21,CC-PRJ-873,2012-09-21
EMP-000055,LEG00055,Gabriel,Wright,leg00055@company.com,413.349.3618x324,LEGAL,Legal Counsel,L3,200000.0,2021-04-28,True,Field Camp,,Jordanian,11,CC-LEG-861,2021-04-28
EMP-000056,LEG00056,علّام,آل محمد بن علي بن جماز,leg00056@company.com,271-874-6488x7719,LEGAL,Contract Analyst,L2,50000.0,2015-07-19,True,Head Office,,Sudanese,32,CC-LEG-741,2015-07-19
EMP-000057,PRO00057,Jeremy,الراشد,pro00057@company.com,939-990-4902,PROCUREMENT,Senior Buyer,L2,50000.0,2016-05-29,True,Site Office A,,Indian,9,CC-PRO-254,2016-05-29
EMP-000058,PRO00058,Craig,Smith,pro00058@company.com,817.256.5512x5674,PROCUREMENT,Procurement Specialist,L3,200000.0,2014-10-19,True,Site Office A,,American,4,CC-PRO-311,2014-10-19
EMP-000059,HSE00059,Georgina,Pennington,hse00059@company.com,001-268-508-7603x85977,HSE,Safety Inspector,L2,50000.0,2023-02-06,False,Head Office,,Bangladeshi,25,CC-HSE-588,2023-02-06
EMP-000060,PRO00060,ابتهال,Mckinney,pro00060@company.com,+44(0)909 879 0710,PROCUREMENT,Senior Buyer,L2,50000.0,2018-09-30,True,Field Camp,,Sudanese,15,CC-PRO-599,2018-09-30
EMP-000061,PRO00061,Jeffrey,Murray,pro00061@company.com,+44(0)191 496 0086,PROCUREMENT,Senior Buyer,L2,50000.0,2010-08-26,True,Warehouse,,Pakistani,30,CC-PRO-230,2010-08-26
EMP-000062,CTR00062,نافذ,آل سعود,ctr00062@company.com,+1-827-548-4677x3782,CONTRACTS,Contract Specialist,L2,50000.0,2018-11-02,True,Warehouse,,Indian,28,CC-CTR-238,2018-11-02
EMP-000063,LEG00063,Brett,المهنا,leg00063@company.com,965-984-0449x972,LEGAL,Legal Officer,L1,10000.0,2015-11-02,True,Head Office,,British,22,CC-LEG-879,2015-11-02
EMP-000064,LEG00064,كاسر,Chase,leg00064@company.com,+441514960533,LEGAL,Legal Officer,L1,10000.0,2019-06-16,True,Head Office,,Saudi,35,CC-LEG-153,2019-06-16
EMP-000065,CTR00065,Cheryl,آل سلطان,ctr00065@company.com,+44(0)1134960576,CONTRACTS,Contract Specialist,L2,50000.0,2011-07-17,True,Warehouse,,Saudi,16,CC-CTR-304,2011-07-17
EMP-000066,HSE00066,Oliver,Spencer,hse00066@company.com,+44(0)113 496 0289,HSE,Environmental Specialist,L3,200000.0,2015-05-09,True,Warehouse,OSHA 30,Jordanian,17,CC-HSE-885,2015-05-09
EMP-000067,ENG00067,Terrance,Cook,eng00067@company.com,(0113) 496 0262,ENGINEERING,Lead Engineer,L3,200000.0,2012-07-27,True,Head Office,,Bangladeshi,2,CC-ENG-419,2012-07-27
EMP-000068,PRJ00068,Nigel,آل خضير,prj00068@company.com,(515)386-5780x9134,PROJECTS,PMO Lead,L5,10000000.0,2018-06-02,True,Warehouse,PRINCE2,Indian,20,CC-PRJ-970,2018-06-02
EMP-000069,PRJ00069,William,Evans,prj00069@company.com,+44116 496 0400,PROJECTS,Project Manager,L4,1000000.0,2022-09-11,True,Site Office A,PMI-ACP,Indian,33,CC-PRJ-763,2022-09-11
EMP-000070,ENG00070,سجى,Jackson,eng00070@company.com,0116 4960386,ENGINEERING,Design Engineer,L4,1000000.0,2020-12-29,True,Field Camp,,Jordanian,10,CC-ENG-545,2020-12-29
EMP-000071,PRO00071,Sian,آل صفوان,pro00071@company.com,+1-269-937-9237x474,PROCUREMENT,Senior Buyer,L2,50000.0,2016-01-22,True,Field Camp,,Jordanian,28,CC-PRO-945,2016-01-22
EMP-000072,PRJ00072,فرزدق,آل مقطة,prj00072@company.com,559.846.4743x671,PROJECTS,Project Coordinator,L1,10000.0,2015-07-05,True,Head Office,,Egyptian,30,CC-PRJ-683,2015-07-05
EMP-000073,PRJ00073,عارف,كانو,prj00073@company.com,506-540-9097x4395,PROJECTS,Planner,L2,50000.0,2010-08-24,True,Site Office A,PMI-ACP,Filipino,22,CC-PRJ-386,2010-08-24
EMP-000074,LEG00074,Elizabeth,Gonzalez,leg00074@company.com,(310)647-0952,LEGAL,Legal Counsel,L3,200000.0,2016-03-13,True,Site Office B,,Egyptian,6,CC-LEG-347,2016-03-13
EMP-000075,PRJ00075,نغم,الخرافي,prj00075@company.com,(488)542-4745x171,PROJECTS,Planner,L2,50000.0,2015-05-23,True,Site Office B,PMP,Indian,19,CC-PRJ-326,2015-05-23
EMP-000076,ENG00076,طريف,Jennings,eng00076@company.com,(716)304-8175x496,ENGINEERING,Engineer,L1,10000.0,2023-01-17,True,Site Office B,,Sudanese,22,CC-ENG-460,2023-01-17
EMP-000077,PRJ00077,زيدان,Price,prj00077@company.com,393-517-4612x00471,PROJECTS,Project Coordinator,L1,10000.0,2015-08-22,True,Warehouse,PRINCE2,Egyptian,14,CC-PRJ-856,2015-08-22
EMP-000078,FIN00078,Damian,Gibson,fin00078@company.com,001-586-992-6179x6405,FINANCE,AP Specialist,L3,200000.0,2021-10-07,True,Field Camp,,Filipino,15,CC-FIN-469,2021-10-07
EMP-000079,PRO00079,Norman,Buchanan,pro00079@company.com,(285)206-4317x139,PROCUREMENT,Buyer,L1,10000.0,2021-12-24,True,Head Office,CPM,Pakistani,32,CC-PRO-205,2021-12-24
EMP-000080,LEG00080,Vanessa,آل محمد بن علي بن جماز,leg00080@company.com,283-693-3529,LEGAL,Legal Counsel,L3,200000.0,2020-07-12,True,Site Office A,,Saudi,17,CC-LEG-982,2020-07-12
EMP-000081,FIN00081,David,Carey,fin00081@company.com,402-605-3950,FINANCE,Cost Controller,L4,1000000.0,2018-12-27,True,Site Office B,,Pakistani,10,CC-FIN-930,2018-12-27
EMP-000082,PRJ00082,دانة,أبا الخيل,prj00082@company.com,577-258-9178,PROJECTS,Planner,L2,50000.0,2015-07-27,True,Regional Office,,Bangladeshi,15,CC-PRJ-894,2015-07-27
EMP-000083,FIN00083,Rachel,آل خضير,fin00083@company.com,+44289018007,FINANCE,Financial Analyst,L2,50000.0,2019-12-06,True,Site Office B,,Bangladeshi,4,CC-FIN-724,2019-12-06
EMP-000084,CTR00084,Tina,Jones,ctr00084@company.com,01632960711,CONTRACTS,Contract Admin,L1,10000.0,2014-08-30,True,Head Office,,Indian,11,CC-CTR-345,2014-08-30
EMP-000085,PRO00085,Jodie,آل مقطة,pro00085@company.com,(028) 9018 0985,PROCUREMENT,Buyer,L1,10000.0,2010-01-22,True,Warehouse,,Saudi,15,CC-PRO-395,2010-01-22
EMP-000086,PRJ00086,رفيق,فصيل,prj00086@company.com,+44(0)161 496 0961,PROJECTS,Scheduler,L3,200000.0,2020-03-08,True,Head Office,PRINCE2,American,8,CC-PRJ-657,2020-03-08
EMP-000087,PRO00087,Carl,العقيل,pro00087@company.com,001-736-673-6576x6156,PROCUREMENT,Buyer,L1,10000.0,2015-12-17,True,Head Office,CPM,Bangladeshi,19,CC-PRO-549,2015-12-17
EMP-000088,PRO00088,Owen,الراشد,pro00088@company.com,711-361-5280,PROCUREMENT,Procurement Specialist,L3,200000.0,2019-01-11,False,Site Office B,,Indian,3,CC-PRO-542,2019-01-11
EMP-000089,PRJ00089,Melanie,Brady,prj00089@company.com,4499451983,PROJECTS,Scheduler,L3,200000.0,2010-07-31,True,Field Camp,,Bangladeshi,2,CC-PRJ-883,2010-07-31
EMP-000090,PRJ00090,Chelsea,حنبولي,prj00090@company.com,(0115)4960493,PROJECTS,Project Coordinator,L1,10000.0,2010-11-26,True,Head Office,,Jordanian,18,CC-PRJ-285,2010-11-26
EMP-000091,CTR00091,Donald,آل العسكري,ctr00091@company.com,+1-480-894-0244x5502,CONTRACTS,Contract Specialist,L2,50000.0,2021-01-11,False,Site Office A,,American,22,CC-CTR-428,2021-01-11
EMP-000092,PRJ00092,Eric,آل بن لافي,prj00092@company.com,001-383-266-7525x4599,PROJECTS,Project Manager,L4,1000000.0,2017-05-25,True,Site Office A,,American,3,CC-PRJ-565,2017-05-25
EMP-000093,PRO00093,Sharon,Campbell,pro00093@company.com,547-367-9764,PROCUREMENT,Buyer,L1,10000.0,2012-08-07,False,Site Office A,,Saudi,35,CC-PRO-573,2012-08-07
EMP-000094,ENG00094,Phillip,Duran,eng00094@company.com,001-278-540-3690,ENGINEERING,Engineer,L1,10000.0,2018-02-11,True,Site Office A,,Saudi,14,CC-ENG-373,2018-02-11
EMP-000095,FIN00095,مرتجي,Anderson,fin00095@company.com,+44(0)1214960107,FINANCE,Finance Manager,L5,10000000.0,2019-10-30,True,Site Office A,CMA,Pakistani,20,CC-FIN-664,2019-10-30
EMP-000096,PRO00096,لقاء,شربتلي,pro00096@company.com,001-738-885-1606x071,PROCUREMENT,Senior Buyer,L2,50000.0,2015-01-15,False,Field Camp,,Indian,10,CC-PRO-610,2015-01-15
EMP-000097,CTR00097,Ronald,العجلان,ctr00097@company.com,01214960160,CONTRACTS,Contract Admin,L1,10000.0,2016-02-18,True,Site Office A,,Jordanian,16,CC-CTR-567,2016-02-18
EMP-000098,PRJ00098,Leslie,Dixon,prj00098@company.com,(716)513-6968x164,PROJECTS,Planner,L2,50000.0,2023-06-12,True,Regional Office,,Filipino,27,CC-PRJ-448,2023-06-12
EMP-000099,CTR00099,مُناضل,Mitchell,ctr00099@company.com,383.455.2312x43292,CONTRACTS,Contract Specialist,L2,50000.0,2010-01-22,True,Head Office,,Bangladeshi,32,CC-CTR-986,2010-01-22
EMP-000100,PRO00100,داوود,Hall,pro00100@company.com,299.755.2717x744,PROCUREMENT,Senior Buyer,L2,50000.0,2017-09-28,True,Regional Office,CPM,Egyptian,16,CC-PRO-685,2017-09-28
EMP-000101,ENG00101,Alexandra,آل عطفة,eng00101@company.com,9542119986,ENGINEERING,Design Engineer,L4,1000000.0,2019-03-20,True,Warehouse,,American,25,CC-ENG-779,2019-03-20
EMP-000102,HSE00102,Shannon,Robinson,hse00102@company.com,+44(0)20 74960782,HSE,Environmental Specialist,L3,200000.0,2013-05-31,True,Head Office,ISO 45001 Lead Auditor,British,7,CC-HSE-995,2013-05-31
EMP-000103,HSE00103,أغاريد,Mccormick,hse00103@company.com,820.737.7889x25546,HSE,HSE Officer,L1,10000.0,2020-04-01,True,Head Office,,Pakistani,5,CC-HSE-580,2020-04-01
EMP-000104,HSE00104,كوثر,الخرافي,hse00104@company.com,715-618-6449x25192,HSE,HSE Officer,L1,10000.0,2023-12-24,True,Site Office B,,Sudanese,25,CC-HSE-424,2023-12-24
EMP-000105,PRJ00105,Jeremy,Peterson,prj00105@company.com,+1-214-786-5281x685,PROJECTS,PMO Lead,L5,10000000.0,2020-12-11,True,Head Office,PMI-ACP,Egyptian,6,CC-PRJ-544,2020-12-11
EMP-000106,CTR00106,Kenneth,Romero,ctr00106@company.com,0117 4960322,CONTRACTS,Claims Analyst,L4,1000000.0,2012-04-03,True,Warehouse,,Saudi,3,CC-CTR-432,2012-04-03
EMP-000107,HSE00107,Julie,آل قصير,hse00107@company.com,001-980-259-2962x2292,HSE,HSE Officer,L1,10000.0,2018-05-29,True,Head Office,OSHA 30,Pakistani,12,CC-HSE-180,2018-05-29
EMP-000108,PRJ00108,طيّب,Morgan,prj00108@company.com,028 9018 0473,PROJECTS,Planner,L2,50000.0,2015-05-27,True,Site Office B,PMI-ACP,Jordanian,17,CC-PRJ-782,2015-05-27
EMP-000109,PRO00109,Bethany,Marsh,pro00109@company.com,+44(0)808 157 0359,PROCUREMENT,Category Manager,L4,1000000.0,2016-06-14,True,Head Office,,British,20,CC-PRO-754,2016-06-14
EMP-000110,CTR00110,Joshua,آل سلطان,ctr00110@company.com,662.339.2407x58181,CONTRACTS,Contract Engineer,L3,200000.0,2020-03-31,True,Head Office,,American,31,CC-CTR-209,2020-03-31
EMP-000111,PRO00111,Robert,Knight,pro00111@company.com,+44(0)1144960375,PROCUREMENT,Procurement Specialist,L3,200000.0,2022-11-22,True,Warehouse,CPSM,Filipino,1,CC-PRO-679,2022-11-22
EMP-000112,LEG00112,Amber,Bullock,leg00112@company.com,(415)930-5152x2047,LEGAL,Senior Counsel,L4,1000000.0,2011-02-06,False,Warehouse,,Filipino,15,CC-LEG-721,2011-02-06
EMP-000113,HSE00113,Ruth,العجلان,hse00113@company.com,232-589-8614x341,HSE,HSE Officer,L1,10000.0,2014-04-07,True,Warehouse,,Pakistani,7,CC-HSE-742,2014-04-07
EMP-000114,PRJ00114,Christina,Duncan,prj00114@company.com,679-880-8932,PROJECTS,Planner,L2,50000.0,2019-11-21,True,Site Office A,PMI-ACP,British,27,CC-PRJ-279,2019-11-21
EMP-000115,PRO00115,Andrew,Pearson,pro00115@company.com,+1-818-751-8888x80670,PROCUREMENT,Category Manager,L4,1000000.0,2018-03-17,True,Field Camp,,Filipino,31,CC-PRO-925,2018-03-17
EMP-000116,ENG00116,Bradley,الجابر,eng00116@company.com,0118 4960195,ENGINEERING,Project Engineer,L5,10000000.0,2012-08-01,True,Head Office,,Egyptian,26,CC-ENG-966,2012-08-01
EMP-000117,HSE00117,Nina,McDonald,hse00117@company.com,(577)222-1704,HSE,Safety Inspector,L2,50000.0,2018-11-07,True,Site Office B,IOSH,Bangladeshi,25,CC-HSE-942,2018-11-07
EMP-000118,PRJ00118,مسعود,Cook,prj00118@company.com,(887)840-3450x5415,PROJECTS,Planner,L2,50000.0,2015-03-31,True,Site Office B,,British,15,CC-PRJ-763,2015-03-31
EMP-000119,PRO00119,Mark,Rogers,pro00119@company.com,775.384.1616x9284,PROCUREMENT,Category Manager,L4,1000000.0,2016-10-11,True,Head Office,CIPS,Filipino,32,CC-PRO-218,2016-10-11
EMP-000120,PRO00120,Sally,مهنا,pro00120@company.com,001-362-875-7059x640,PROCUREMENT,Procurement Lead,L5,10000000.0,2013-01-16,True,Site Office A,,Sudanese,27,CC-PRO-701,2013-01-16
EMP-000121,PRJ00121,حاتم,آل سلطان,prj00121@company.com,7298702135,PROJECTS,Project Coordinator,L1,10000.0,2019-04-22,True,Regional Office,,Filipino,3,CC-PRJ-806,2019-04-22
EMP-000122,ENG00122,Jill,Weston,eng00122@company.com,555.371.9285x654,ENGINEERING,Senior Engineer,L2,50000.0,2015-04-19,True,Head Office,,Sudanese,23,CC-ENG-162,2015-04-19
EMP-000123,ENG00123,Shannon,الشايع,eng00123@company.com,344-473-9473,ENGINEERING,Engineer,L1,10000.0,2012-09-27,False,Regional Office,PMP,Bangladeshi,2,CC-ENG-151,2012-09-27
EMP-000124,HSE00124,Kristy,Ward,hse00124@company.com,+1-555-418-8442x25831,HSE,HSE Officer,L1,10000.0,2012-10-28,True,Head Office,,Sudanese,14,CC-HSE-700,2012-10-28
EMP-000125,PRO00125,Teresa,آل جعفر,pro00125@company.com,(878)329-1146x786,PROCUREMENT,Category Manager,L4,1000000.0,2017-05-15,True,Regional Office,,Filipino,10,CC-PRO-233,2017-05-15
EMP-000126,FIN00126,جالا,آل عايض,fin00126@company.com,+44(0)1514960852,FINANCE,Cost Controller,L4,1000000.0,2012-06-19,True,Head Office,CMA,Bangladeshi,21,CC-FIN-116,2012-06-19
EMP-000127,PRO00127,Cynthia,آل معيض,pro00127@company.com,(380)618-2422x53584,PROCUREMENT,Buyer,L1,10000.0,2019-06-11,True,Warehouse,,British,33,CC-PRO-707,2019-06-11
EMP-000128,PRO00128,Christopher,بقشان,pro00128@company.com,+1-749-281-8299x2299,PROCUREMENT,Senior Buyer,L2,50000.0,2023-10-18,True,Regional Office,,Sudanese,20,CC-PRO-569,2023-10-18
EMP-000129,PRJ00129,تولين,Jimenez,prj00129@company.com,+44(0)28 9018396,PROJECTS,Project Coordinator,L1,10000.0,2020-09-28,True,Site Office A,PMI-SP,Indian,6,CC-PRJ-429,2020-09-28
EMP-000130,PRJ00130,Elizabeth,Hall,prj00130@company.com,+1-244-473-6471,PROJECTS,Project Coordinator,L1,10000.0,2016-03-02,True,Site Office B,,American,34,CC-PRJ-401,2016-03-02
EMP-000131,FIN00131,فاروق,Clarke,fin00131@company.com,+44(0)2074960255,FINANCE,AP Specialist,L3,200000.0,2012-03-23,True,Head Office,,Sudanese,14,CC-FIN-540,2012-03-23
