vendor_id,vendor_code,vendor_name,vendor_legal_name,vendor_type,sector_specialization,country,state,city,postal_code,address_line1,address_line2,registration_number,vat_number,tax_id,bank_name,bank_account,swift_code,payment_terms_days,credit_limit_usd,performance_rating,risk_category,prequalification_status,prequalification_expiry_date,iso_certified,hse_rating,minority_owned,small_business,contact_name,contact_email,contact_phone,annual_turnover_usd,years_in_business,created_date,last_updated_date
VND-000011,V00011,"Smith, Williams and Edwards",Gray LLC LLC,MANUFACTURER,CIVIL,Saudi Arabia,Jubail,South Dennismouth,36115,"Studio 12
Dale Lights",,REG-SA-39854548,VAT618256173492722,TID-475442872,BNP Paribas,SA709232260256342160,BNPXSAXXX,60,309233.65,3.8,LOW,APPROVED,2027-07-14,False,5,False,False,Dr Stewart Sharp,dr.stewart.sharp@williams.info,001-831-266-5876x036,1409330.38,6,2018-06-04,2023-04-12
VND-000012,V00012,Calhoun-Hooper,King-Roberts LLC,SUBCONTRACTOR,POWER,Saudi Arabia,Al Khobar,Baileystad,52146,627 Brent Light,,REG-SA-15957459,VAT590956460848080,TID-101815992,ABN AMRO,SA422940196556981693,ABNXSAXXX,30,2200479.67,3.1,LOW,REJECTED,2022-01-15,False,2,False,False,Dr Rhys Powell,dr.rhys.powell@robinson-graham.com,+44117 496 0755,1967867.58,32,2020-10-30,2023-02-08
VND-000013,V00013,Martinez Ltd,Gonzalez Inc Ltd.,SUPPLIER,POWER,Australia,New South Wales,Emilyview,74421,452 Kimberly Estates Suite 190,,REG-AU-97873101,VAT623527832661242,TID-574364121,Wells Fargo,AU872366299468044369,WELLAUXXX,60,965498.0,2.8,MEDIUM,APPROVED,2029-02-23,True,4,False,False,Paul Williams,paul.williams@brooks.com,(020) 7496 0663,462150.26,35,2019-12-17,2023-03-14
VND-000014,V00014,"Norman, Nicholls and Gould",Short-Garcia Ltd.,LABOUR_CONTRACTOR,CIVIL,India,Karnataka,North Heidi,96681,"Studio 6
Stanley Gardens",,REG-IN-10744212,VAT945511095835297,TID-926830795,Standard Chartered,IN932003791769367632,STANINXXX,60,104258.35,3.6,LOW,PENDING,2021-03-24,False,3,False,False,Mr Lawrence Gill,mr.lawrence.gill@rowe.com,973-579-9650x752,406294.88,16,2016-03-12,2024-05-20
VND-000015,V00015,Phillips Group,"Alvarez, Joseph and West LLC",CONSULTANT,MULTI,UAE,Abu Dhabi,Mauriceview,40636,"Studio 85
Turner Plaza",,REG-AE-48349783,VAT405922937701748,TID-460613550,Barclays,AE199868727743487347,BARCAEXXX,45,902691.96,3.6,MEDIUM,APPROVED,2027-01-22,False,4,False,False,Christopher Lewis,christopher.lewis@allen.info,+44131 496 0744,2456626.62,14,2018-08-02,2022-06-15
VND-000016,V00016,White-Smith,Lee LLC Ltd.,SUBCONTRACTOR,OIL_GAS,UK,Northern Ireland,North Alex,36455,427 Monique Ports,,REG-GB-13895645,VAT478448418448716,TID-818197581,HSBC,GB729670546688937346,HSBCGBXXX,90,392966.8,3.4,LOW,PENDING,2020-12-04,False,5,False,False,Sara Watson,sara.watson@robinson.com,0161 496 0775,339229.23,34,2022-08-13,2024-04-08
VND-000017,V00017,"James, Kerr and Evans",Wilson Group Ltd.,MANUFACTURER,OIL_GAS,India,Maharashtra,West Shelleyfort,OL9 9EH,123 Andrea Estate Apt. 679,Flat 03s,REG-IN-19209801,VAT145327589139619,TID-909851739,BNP Paribas,IN935375564641708053,BNPXINXXX,60,345881.79,3.0,MEDIUM,APPROVED,2027-05-27,True,3,False,False,Jennifer Jones,jennifer.jones@hernandez.com,+44(0)292018713,7111362.46,6,2015-05-08,2023-05-22
VND-000018,V00018,Knight-Hughes,Harvey-Holmes Inc.,SUBCONTRACTOR,MULTI,USA,Louisiana,South Geoffrey,78886,594 Christopher Spring Apt. 490,Suite 874,REG-US-15512205,VAT699815148951688,TID-559967386,JPMorgan Chase,US824190496631931491,JPMOUSXXX,60,122018.9,3.7,MEDIUM,APPROVED,2026-09-02,False,2,False,False,Susan Serrano,susan.serrano@martin.org,001-367-417-5655,2950716.27,37,2022-06-02,2024-01-29
VND-000019,V00019,"Davey, Johnson and Carter","Booth, Murray and Brown LLC",SUPPLIER,OIL_GAS,Saudi Arabia,Dhahran,Faulknerport,35504,7109 Jennifer Inlet Apt. 861,Apt. 712,REG-SA-60867083,VAT132312483780305,TID-630757561,ABN AMRO,SA959877694531473799,ABNXSAXXX,45,290926.45,3.2,MEDIUM,APPROVED,2029-01-06,False,5,False,False,Mr Julian Nicholson,mr.julian.nicholson@clark-clements.net,(01632) 960 484,4166843.22,18,2018-08-24,2023-01-08
VND-000020,V00020,Williams Group,Bird LLC Ltd.,CONSULTANT,MULTI,UK,Scotland,Robinsonbury,NR8 7PH,60576 Mcneil Turnpike Apt. 702,Flat 7,REG-GB-54398056,VAT891344940335401,TID-587205269,Barclays,GB807701436349578856,BARCGBXXX,30,1053246.1,4.2,LOW,PENDING,2021-05-29,True,4,False,False,Liam Cooper,liam.cooper@hill.com,870.726.2174x59615,730581.97,19,2018-01-14,2023-09-20
VND-000021,V00021,Patel-Lane,Nguyen Inc LLC,SUPPLIER,POWER,UAE,Abu Dhabi,New Brianbury,G2C 9RZ,237 Stevens Shores Apt. 748,Apt. 759,REG-AE-26948946,VAT652679624867042,TID-210152642,Bank of America,AE994134352408240084,BANKAEXXX,45,651722.49,3.3,MEDIUM,APPROVED,2028-11-30,True,4,True,False,Joanne Williams,joanne.williams@padilla.com,+4428 9018647,6448202.01,35,2015-02-20,2023-08-06
VND-000022,V00022,"Mcgee, Wall and Leach",Armstrong Ltd Corp.,MANUFACTURER,OIL_GAS,Kuwait,Ahmadi,South Pamela,80070,394 Teresa Court,,REG-KW-50987442,VAT799214528099171,TID-164671796,Bank of America,KW644131869993867749,BANKKWXXX,45,430988.29,3.2,LOW,APPROVED,2027-06-13,False,3,False,False,Kenneth Andrews,kenneth.andrews@stewart.biz,770-695-2145x6232,530224.49,45,2021-11-02,2022-07-23
VND-000023,V00023,"Harvey, Connolly and Morris",Pearson Inc LLC,SUBCONTRACTOR,CIVIL,UAE,Ajman,Robinfort,S5B 7AZ,174 Clark Cape,,REG-AE-48736657,VAT240009230064726,TID-603260608,Citibank,AE823493618324210249,CITIAEXXX,60,64739.93,2.7,MEDIUM,APPROVED,2028-07-16,True,5,True,True,Leslie Roberts-Jones,leslie.roberts-jones@webster.biz,471-813-8267x5869,5302498.73,22,2022-09-21,2023-09-15
VND-000024,V00024,Davis-Lewis,Matthews and Sons LLC,SUBCONTRACTOR,OIL_GAS,Saudi Arabia,Dammam,Gilbertview,07130,9 Brian Village,,REG-SA-53091709,VAT217770881457844,TID-272684373,HSBC,SA524902787429671756,HSBCSAXXX,60,472009.92,4.4,LOW,APPROVED,2029-01-22,False,4,False,False,Claudia Wallace,claudia.wallace@garcia-jennings.net,001-433-652-9042,6668444.72,23,2018-09-12,2024-04-23
VND-000025,V00025,Gordon-Dougherty,"Brown, West and Cox LLC",SUBCONTRACTOR,CIVIL,Saudi Arabia,Riyadh,Lake Michelleberg,95822,"Studio 00E
Pickering Coves",,REG-SA-94560158,VAT999948587451255,TID-356943695,BNP Paribas,SA130385977034824771,BNPXSAXXX,30,667752.05,2.3,HIGH,CONDITIONAL,2021-09-28,False,3,False,False,Richard Chapman,richard.chapman@baker.biz,01632960711,922196.9,40,2022-12-17,2022-11-21
VND-000026,V00026,Hayes-Perez,James Inc S.A.,OEM,CIVIL,France,Auvergne-Rhône-Alpes,North Malcolm,JE61 6PL,711 Colin Meadows,,REG-FR-78147397,VAT418446066212329,TID-879591310,Wells Fargo,FR534677378263982146,WELLFRXXX,60,1711349.21,3.8,MEDIUM,APPROVED,2027-02-12,True,4,False,False,Elliott Grant,elliott.grant@turner-hill.info,001-252-680-9885x1656,1915839.55,33,2018-05-07,2024-09-29
VND-000027,V00027,Park-Parker,"Hickman, Gallegos and Adams LLC",SUPPLIER,OIL_GAS,Saudi Arabia,Jeddah,Stuartshire,AB2 9RD,83667 Moore Inlet,,REG-SA-65026398,VAT837217697117833,TID-265744099,Deutsche Bank,SA287662702895171870,DEUTSAXXX,60,1748166.88,1.3,BLACKLISTED,REJECTED,2021-06-26,False,4,True,False,John Boone,john.boone@owen.biz,+44306 999 0991,86246.4,26,2015-11-03,2024-08-19
VND-000028,V00028,"King, Thomas and Byrne",Griffiths-Davies Ltd.,SUPPLIER,POWER,UK,Wales,East Karen,01508,24451 Tyler Meadows Apt. 268,Suite 160,REG-GB-60310319,VAT263897801801031,TID-362204999,Bank of America,GB551343161172400504,BANKGBXXX,60,536059.82,4.1,MEDIUM,EXPIRED,2023-03-05,True,3,True,False,Denise Stanley,denise.stanley@williams.com,(0113) 4960715,1397015.76,48,2020-12-15,2024-04-23
VND-000029,V00029,Chapman-Warren,Williams Inc LLC,OEM,OIL_GAS,Saudi Arabia,Al Khobar,Ellischester,SW5 5GD,5231 Jonathan Extensions,,REG-SA-24314759,VAT529377489306448,TID-714097318,ABN AMRO,SA710748217594647436,ABNXSAXXX,90,101957.18,3.6,LOW,APPROVED,2027-12-09,True,3,False,False,Nicole Brown,nicole.brown@roberts.info,001-312-977-9979x95527,1536551.95,6,2019-01-10,2023-08-29
VND-000030,V00030,Stout-Armstrong,"Wheeler, Cruz and Carpenter Corp.",CONSULTANT,POWER,Qatar,Doha,Henryshire,42644,7 Glenn Station,,REG-QA-53851498,VAT567815343253478,TID-288592093,Standard Chartered,QA479533942104709521,STANQAXXX,60,665339.98,2.7,HIGH,PENDING,2023-01-09,False,4,False,False,Benjamin Murray,benjamin.murray@wood.com,820.737.7889x25546,11782554.84,28,2017-04-02,2022-09-28
VND-000031,V00031,Hansen-Schneider,"Harrison, Gilbert and Wright Inc.",SUPPLIER,POWER,USA,Louisiana,Cameronville,E68 0QN,7332 Chris Vista,,REG-US-41383044,VAT128177010439497,TID-765233376,JPMorgan Chase,US233685160481754965,JPMOUSXXX,30,261860.84,3.1,MEDIUM,APPROVED,2027-07-11,True,5,False,False,Hayley Wood-Moss,hayley.wood-moss@miller-alvarado.com,988.205.9296x22292,1095311.42,46,2021-04-18,2023-11-03
VND-000032,V00032,Moran-Marsh,Gregory-Hudson LLC,SUPPLIER,OIL_GAS,UAE,Dubai,Sianbury,L92 0UQ,1247 Mariah Course,Suite 506,REG-AE-69686067,VAT365841083389280,TID-489431174,JPMorgan Chase,AE666758692617964053,JPMOAEXXX,45,650413.94,4.1,LOW,APPROVED,2028-04-17,True,5,False,False,Patrick Mitchell,patrick.mitchell@wilkinson.info,(485)236-1530x5152,1059116.36,8,2016-02-11,2024-01-23
VND-000033,V00033,Parker Group,Russell and Sons Ltd.,OEM,OIL_GAS,India,Karnataka,Boothberg,E7 8YJ,0953 Lopez Skyway Apt. 851,Suite 706,REG-IN-24754064,VAT248395525769009,TID-115956152,Bank of America,IN323183933529042284,BANKINXXX,30,753871.59,2.0,HIGH,CONDITIONAL,2023-04-20,True,5,False,False,Mohammad Burgess,mohammad.burgess@scott.net,(0118) 4960051,2247099.42,25,2019-01-07,2023-05-03
VND-000034,V00034,Harris Inc,"Jones, Clayton and Macdonald LLC",SUPPLIER,CIVIL,UAE,Ajman,Lake Sylvia,05993,"Studio 68
Smith Terrace",,REG-AE-18815720,VAT409637619259276,TID-770355806,Bank of America,AE280847007661771159,BANKAEXXX,60,285135.82,4.2,MEDIUM,APPROVED,2028-06-02,True,3,False,False,Nancy Cook,nancy.cook@payne-li.com,950-954-1566x7652,1349794.83,43,2022-02-06,2023-10-28
VND-000035,V00035,Williams-Wood,Foster-Pickering Corp.,SUBCONTRACTOR,POWER,Oman,Al Batinah,Jakechester,S4S 1RQ,97021 Kimberly Lakes,,REG-OM-27463800,VAT167532160389123,TID-729712082,Barclays,OM576615654527111161,BARCOMXXX,45,365374.03,2.8,HIGH,CONDITIONAL,2023-10-04,False,3,False,False,Zachary White,zachary.white@webb-mills.com,01414960909,345393.56,12,2021-04-19,2023-11-07
VND-000036,V00036,Hampton-Padilla,"Lopez, Holmes and Mcintyre LLC",SUPPLIER,MULTI,UAE,Sharjah,Rushstad,80700,"Flat 12
Alison Extensions",,REG-AE-45896226,VAT303126307650006,TID-393421844,Barclays,AE943158514936899809,BARCAEXXX,30,616126.51,3.7,MEDIUM,APPROVED,2028-03-09,True,3,False,False,Mr Mitchell Khan,mr.mitchell.khan@mclean-white.com,+44(0)114 4960551,2012310.03,27,2022-11-18,2023-09-25
VND-000037,V00037,"Henson, Jones and Sanders","Allen, Jones and Robinson Ltd.",SUPPLIER,CIVIL,India,Maharashtra,Charlesburgh,S6W 2PD,"Studio 85i
Callum Meadows",,REG-IN-69330166,VAT407560092004883,TID-331465414,JPMorgan Chase,IN875459910229014767,JPMOINXXX,30,161146.12,3.3,LOW,APPROVED,2028-03-20,True,3,False,False,Nathan O'Neill,nathan.oneill@young.com,682-342-2535,1207283.5,32,2020-09-29,2022-08-22
VND-000038,V00038,"Kelly, Allen and Richards","Thomas, Taylor and Francis LLC",SUPPLIER,CIVIL,Saudi Arabia,Al Khobar,Lake Lynn,65779,"Studio 3
Jordan Cliffs",Apt. 767,REG-SA-68548403,VAT617633833975518,TID-183604337,ABN AMRO,SA154510762268388516,ABNXSAXXX,60,263166.33,3.3,LOW,APPROVED,2028-07-20,False,4,False,False,Aimee Stokes,aimee.stokes@davidson.com,(0117) 4960592,1648069.04,50,2018-07-06,2024-05-29
VND-000039,V00039,Hunt and Sons,Roberts Group S.A.,MANUFACTURER,CIVIL,France,Hauts-de-France,Leighfurt,N3U 7WT,"Studio 0
Lisa Parkways",Flat 39,REG-FR-56892354,VAT918957282028553,TID-979339361,Standard Chartered,FR346968164535218188,STANFRXXX,30,2260987.22,3.8,MEDIUM,EXPIRED,2021-04-28,True,4,False,False,Kayla Rodriguez,kayla.rodriguez@martinez-cole.com,0114 496 0047,2466106.41,11,2022-03-28,2022-10-30
VND-000040,V00040,"White, Scott and Davies",Tran-Jones LLC,LABOUR_CONTRACTOR,POWER,UAE,Ajman,Paulatown,17365,5852 Carrie Locks Apt. 002,,REG-AE-15047559,VAT515160373106870,TID-993027458,Bank of America,AE675527177449058147,BANKAEXXX,60,471091.04,3.7,LOW,APPROVED,2026-10-15,False,5,False,False,Stephen Luna,stephen.luna@thomas-bentley.net,0808 1570787,200011.93,44,2018-03-21,2022-06-07
VND-000041,V00041,Silva-Robles,Sharp-Chan LLC,MANUFACTURER,POWER,UAE,Ras Al Khaimah,West Sarah,78739,"Studio 99o
Carole Neck",,REG-AE-61998170,VAT971970311052392,TID-463318956,HSBC,AE467151820377889255,HSBCAEXXX,45,524681.95,3.5,MEDIUM,APPROVED,2028-02-28,True,2,False,False,Lynn Scott,lynn.scott@holt.org,896.523.0913x07562,38437660.28,9,2022-08-12,2022-04-18
VND-000042,V00042,"Jones, Andrews and White","Nixon, Clements and Atkinson S.A.",SUPPLIER,MULTI,Italy,Veneto,Wongton,M43 5UQ,"Flat 9
Wheeler Locks",,REG-IT-38748452,VAT647495656738878,TID-306164050,BNP Paribas,IT332914865281685054,BNPXITXXX,45,636411.89,3.4,LOW,APPROVED,2027-02-25,True,3,False,False,Kristina Bolton,kristina.bolton@patel.net,(0306)9990240,1918402.98,9,2017-07-16,2022-10-09
VND-000043,V00043,"Hall, Garcia and Rivera",Williams PLC Ltd.,SUPPLIER,POWER,UK,Wales,West Angelaview,G0 6UU,4019 Amanda Stream Apt. 262,Suite 724,REG-GB-86560394,VAT596068655857416,TID-595725097,Bank of America,GB572706537947383473,BANKGBXXX,45,196304.23,2.4,HIGH,CONDITIONAL,2022-10-26,True,2,False,False,Caroline Finch,caroline.finch@booth.org,9494915478,7881628.6,38,2018-02-28,2024-02-22
VND-000044,V00044,Lewis-Hopkins,Carr Ltd LLC,CONSULTANT,MULTI,UAE,Ajman,Alexville,24720,3046 Sean Grove Suite 499,,REG-AE-41645597,VAT522114031310860,TID-341096660,ABN AMRO,AE571247826137506068,ABNXAEXXX,60,912469.38,1.7,HIGH,CONDITIONAL,2020-07-21,False,5,False,False,Fiona Brooks,fiona.brooks@doyle.org,653-701-7426x841,5167481.94,50,2015-04-26,2023-10-15
VND-000045,V00045,Poole PLC,"Griffin, Padilla and Miller Ltd.",SUPPLIER,POWER,Australia,Western Australia,East Timothy,75566,8713 Davis Pass,Flat 7,REG-AU-18429833,VAT662760567469254,TID-740743666,HSBC,AU684328986143410369,HSBCAUXXX,45,1535856.6,2.9,MEDIUM,APPROVED,2029-03-04,False,5,False,False,Leon Patel-Campbell,leon.patel-campbell@roberts.co.uk,367.290.8740x64039,371920.9,41,2021-01-04,2022-02-03
VND-000046,V00046,Francis-Robson,Patterson-Bell Inc.,CONSULTANT,CIVIL,USA,Florida,Bethland,86161,8 Hill Stream,,REG-US-54629892,VAT149916682903967,TID-478278218,Wells Fargo,US848880670654051531,WELLUSXXX,45,2884112.77,3.9,MEDIUM,APPROVED,2027-04-07,True,5,False,False,Andrea Peck,andrea.peck@ortiz-mack.biz,5049786863,609268.39,48,2021-02-14,2023-11-25
VND-000047,V00047,Yang Group,Harper-Warner Corp.,OEM,CIVIL,Qatar,Al Rayyan,West Roy,L02 3YP,28 Amy Hills,,REG-QA-63690013,VAT595101252561388,TID-515156661,HSBC,QA655486874034505415,HSBCQAXXX,45,541492.49,3.1,LOW,APPROVED,2029-01-24,True,4,False,False,Matthew Mendez,matthew.mendez@harris.org,(0114) 496 0892,1093054.86,49,2018-10-20,2023-01-18
VND-000048,V00048,Melendez-Hart,Turner Ltd LLC,OEM,POWER,UAE,Ras Al Khaimah,Parkerstad,G6D 3PD,"Flat 8
Lee Grove",,REG-AE-95565484,VAT509050134963396,TID-650921917,Deutsche Bank,AE954479627570596401,DEUTAEXXX,60,144615.33,1.3,BLACKLISTED,REJECTED,2020-03-04,True,2,False,False,Dr Damien Sanderson,dr.damien.sanderson@bennett-webster.info,(029) 2018990,2171509.94,14,2022-08-14,2022-11-24
VND-000049,V00049,Herman-Arnold,Booth Ltd Ltd.,SUBCONTRACTOR,CIVIL,India,Rajasthan,Port Kathleen,LL85 4QW,"Flat 7
Austin Land",,REG-IN-25805613,VAT972532320439233,TID-379484009,Deutsche Bank,IN817192856543102786,DEUTINXXX,45,730319.45,2.8,LOW,APPROVED,2027-06-27,False,5,False,False,Sean Cook,sean.cook@giles.com,+44(0)141 496 0093,663542.81,44,2022-11-23,2024-07-02
VND-000050,V00050,Thompson-James,Morgan-Graham Inc.,SUBCONTRACTOR,MULTI,USA,Florida,West Angelashire,18845,080 Aimee Causeway,,REG-US-84359498,VAT515355860207018,TID-601873197,Deutsche Bank,US561884422583132370,DEUTUSXXX,45,267202.14,4.6,LOW,APPROVED,2026-10-07,False,3,False,False,Ann Chapman-Wilson,ann.chapman-wilson@pierce-harding.com,(923)212-0387x50997,1358897.03,9,2021-03-09,2022-09-23
VND-000051,V00051,Phillips-Frost,Lee PLC Corp.,SUPPLIER,POWER,Kuwait,Kuwait City,Smithhaven,LE93 4DB,6870 Jacqueline Corner Suite 659,,REG-KW-56442431,VAT382153920244137,TID-310777576,Wells Fargo,KW385289226801824225,WELLKWXXX,45,186777.23,4.1,LOW,APPROVED,2026-12-26,True,3,False,False,Gareth Brown,gareth.brown@dean.net,703.239.7401x48902,2627674.15,45,2022-02-14,2023-07-17
VND-000052,V00052,Gibson and Sons,"Davidson, Scott and Wood LLC",SUBCONTRACTOR,MULTI,UAE,Ras Al Khaimah,Port Lori,45143,"Flat 4
Hughes Knolls",,REG-AE-70873663,VAT875306334854178,TID-164331134,HSBC,AE481094396907844736,HSBCAEXXX,45,138188.89,4.4,MEDIUM,APPROVED,2028-08-12,True,4,False,False,Leanne Marsden,leanne.marsden@davenport.com,01514960296,2496045.83,35,2016-10-09,2024-06-19
VND-000053,V00053,Jordan PLC,Carter-Warner Corp.,OEM,CIVIL,Japan,Aichi,Laurenland,B1 8DZ,"Flat 4
Cooper Corner",,REG-JP-51971886,VAT959196137994162,TID-271092615,Deutsche Bank,JP833714732104696325,DEUTJPXXX,90,615548.87,2.1,HIGH,CONDITIONAL,2022-08-14,True,4,True,False,James Bowers,james.bowers@price.com,001-982-462-2444,5110691.03,36,2020-08-02,2024-11-20
VND-000054,V00054,Williams-Crawford,Smith-Foster LLC,SUPPLIER,OIL_GAS,Saudi Arabia,Al Khobar,South Joshua,39879,52 Morgan Highway,Studio 35,REG-SA-84252324,VAT182786734165267,TID-514838889,Barclays,SA564801624565060983,BARCSAXXX,60,173858.68,2.6,LOW,APPROVED,2027-11-07,True,5,False,False,Ian Evans,ian.evans@weber.com,+44(0)1184960651,3741464.3,44,2020-08-27,2024-07-11
VND-000055,V00055,"Nash, Davison and Patel",Parkinson and Sons LLC,SUPPLIER,POWER,Saudi Arabia,Dammam,Lake Katrina,W9G 8BQ,52909 Rasmussen Isle,,REG-SA-89688374,VAT671184850440720,TID-989368954,HSBC,SA480257872982595269,HSBCSAXXX,60,610942.21,3.7,MEDIUM,APPROVED,2029-01-11,True,3,True,False,Julia Erickson,julia.erickson@holden-rees.biz,(0115) 496 0014,3030977.07,50,2020-09-18,2024-12-26
VND-000056,V00056,"Webb, Alvarez and Kim",Collins-Gibson Inc.,SUPPLIER,CIVIL,USA,Louisiana,South Neil,BR4 1AP,382 Mark Meadow,,REG-US-12541730,VAT453185644930902,TID-549661921,Barclays,US344993097289623091,BARCUSXXX,45,602092.48,3.0,MEDIUM,PENDING,2023-11-15,False,1,False,False,Mr Kyle Turner,mr.kyle.turner@harris.com,+44(0)1174960622,2842926.98,18,2016-09-12,2024-04-25
VND-000057,V00057,"Taylor, Hill and Dawson","Lopez, Nguyen and Ellis LLC",OEM,POWER,UAE,Abu Dhabi,Dayborough,S9B 5TZ,912 Wilson Inlet Apt. 252,,REG-AE-40181142,VAT435084682307875,TID-928042067,Barclays,AE488652785854973348,BARCAEXXX,45,2224367.11,3.0,MEDIUM,APPROVED,2029-01-09,True,5,False,False,Allan McCarthy,allan.mccarthy@ramirez.com,+44(0)1414960929,3531584.67,25,2018-03-29,2023-03-01
VND-000058,V00058,Richardson-Sanderson,Chapman Group Ltd.,LABOUR_CONTRACTOR,CIVIL,UK,Northern Ireland,Skinnerside,DA19 3NB,427 Parry Creek,,REG-GB-99903592,VAT697901990045356,TID-342313086,Citibank,GB165747338484219933,CITIGBXXX,45,192783.02,2.0,HIGH,CONDITIONAL,2020-04-17,True,1,False,False,Katherine Taylor,katherine.taylor@bibi-taylor.com,285-980-7836x134,4397391.44,11,2022-02-26,2023-04-22
